severity,kind,curated_id,project_name,detail
critical,location_reference_as_name,BDS-CURATED-0381,NOXH đang đánh giá khoảng 15Km Trên dưới 20 Triệu/m2 Giá đất UBND MT đường DT742 5 Triệu/m2 Theo Tổng mức đầu,"Tên là câu tham chiếu khoảng cách, không phải dự án"
critical,location_reference_as_name,BDS-CURATED-0234,Phú Quang khoảng 350m + Có 2 mặt tiếp xúc,"Tên là câu tham chiếu khoảng cách, không phải dự án"
critical,location_reference_as_name,BDS-CURATED-0129,Phú Quang khoảng 350m + Có 2 mặt tiếp xúc kênh rạch II/ Kết nối giao thông đến dự án,"Tên là câu tham chiếu khoảng cách, không phải dự án"
critical,bad_project_name,BDS-CURATED-0108,Suối Nhum với giá 1180 tỷ theo hình thức chuyển nhượng 100% cổ phần cty với hiện trạng có Quy hoạch mới dự kiế,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0194,Swanbay 456ha hiện Dic đã chuyển nhượng lại các dự án thành phần cho các chủ đầu tư khác nên có nhiều dự án co,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0151,THEO PHƯƠNG ÁN KINH DOANH ANH CƯỜNG – TMĐT Ko bao gồm ĐẤT Kết quả kinh doanh – PA vận hành 15 năm + GOP bình q,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0167,The Bale của Được gửi giá đã giảm mà lại ko lãi hã Dự án Bale này giá có giảm nhưng pháp lý trước đây họ cam k,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0195,The Sang Residence đang gần hoàn thành xây dựng với giá bán (58-68trđ/m2) với vị trí nằm sâu trong đường Phạm,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0196,Thông tin quyết định chủ trương đầu tư/pháp lý dự án/thông tin quy hoạch dự án - Thông tin đơn vị khác tham,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0113,Westgate của AnGia – 38 tr/m2 (vị trí trung tâm Huyện Bình Chánh) + Thấp hơn mức giá trung bình của Akari – Na,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0198,cao tầng phải đầu tư 2–3 tầng hầm Trường hợp cần rà soát chi tiết và cập nhật chính xác hơn,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0237,chung cư nhiều nhưng số lượng dự án và thị trường thì thấy Đà Nẵng có vẻ sôi động hơn à Nhưng condotel ở Đà Nẵ,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0168,chỉ mới trong giai đoạn pháp lý đền bù GPMB thì được xem là quỹ đất và được định giá lại theo phương thức giá,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0239,chợ lớn có khi phải điều chỉnh ranh Dự án Chợ Lớn đang làm quy hoạch anh Tài đã có cập nhật ranh Metro vào rồi,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,location_reference_as_name,BDS-CURATED-0030,có 1 mặt tiền đường Song Hành rộng khoảng 110m của đường Xa lộ Hà Nội,"Tên là câu tham chiếu khoảng cách, không phải dự án"
critical,location_reference_as_name,BDS-CURATED-0019,có 2 mặt tiền đường Thuận An Hóa rộng khoảng 60m,"Tên là câu tham chiếu khoảng cách, không phải dự án"
critical,location_reference_as_name,BDS-CURATED-0042,có mặt tiền rộng khoảng 100m ngay đường Nguyễn Hữu Thọ,"Tên là câu tham chiếu khoảng cách, không phải dự án"
critical,bad_project_name,BDS-CURATED-0243,của Novaland được tháo gỡ liên quan đến Waterbay và Lakeview theo NQ 170 của Quốc Hội Liên quan đến vấn đề giả,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0202,của mình nằm sát Khu CBD mới của Đà Nẵng và lợi thế nằm ngay đường Phạm Văn Đồng (có 4 mặt tiền,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0445,của mình sẽ thực hiện đồng bộ theo hạ tầng của tỉnh Vậy cầu này làm để kết nói đường bộ ven biể,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0020,gồm Chung cư cao tầng gồm 02 Hầm + 02 tầng Khối đế + 26 tầng căn hộ (trong đó căn hộ NOXH chiếm 20% tổng số că,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0117,hạ tầng trọng điểm quốc gia đang được triển khai như Đường DT 770B (LG 60m) khởi công xây dựng Quý I-2024,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0205,khi thực hiện kcn phải san lấp thêm ở mức bao nhiêu nên cũng chưa ước tính chi phí san lấp cho dự án này,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0093,không đạt hiệu quả tài chính với giá chào chuyển nhượng là 280 tỷ đồng (chưa bao gồm tiền CMĐSDĐ) - Để dự án đ,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0155,là tính khả thi của công tác giải phóng mặt bằng khi diện tích nhà dân nằm xen cài nhiều trong ranh đất dự án,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0210,mình khảo sát ở kcn Vĩnh Phúc khi bay flycam thì thấy hiện trạng là đất lúa xen kẽ nhiều nhà dân và có các đồi,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0290,mình là đường ven biển rồi lên Cao Tốc ra Cảng Hải Phòng Anh vẽ cho em đường bộ và đường sông đi ra,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0249,nghỉ dưỡng nghìn tỷ bà Trương Mỹ Lan từng thâu tóm Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Thủ Thiêm (,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0120,nhà ở khi chuyển mục đích sang đất ở theo Luật Đất đai sẽ phải thực hiện đấu giá đối với hiện trạng các khu đấ,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0211,nhà ở thương mại thông qua thỏa thuận về nhận quyền sử dụng đất hoặc đang có quyền sử dụng đất để thể chế hóa,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0212,này hiện chỉ đóng tiền sử dụng đát trên diện tích đất xây dựng thay vì diện tích đất toàn khu đối với toàn khu,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0174,này hiện đã thực hiện pháp lý đến giai đoạn cấp sổ đỏ riêng cho từng lô biệt thự Nhưng hiện tại,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0175,này hồi xưa mình có thông tin nhưng sau đó đề xuất là không quan tâm sâu do có 2 nhược điểm lớn là,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0296,thông qua đấu thầu nên khả năng cao chỉ thực hiện được chuyển nhượng thông qua hình thức mua cổ phần nên,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0262,tiền M&A nên đang bị phẩn bổ khá nhiều thời gian cho phần phân tích các dự án tiền M&A này Begin quote,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0222,trước năm 2024 đúng thật là thấy giá chung cư của HN thấy thấp hơn SG nếu nhìn vị trí có tính tương đương,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0179,tuy đạt hiệu quả đầu tư về mặt tính toán nhưng sẽ bị vướng mắc về Pháp lý đất (đất SKC bị hết hạn,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0069,đã được chấp thuận đầu tư dự án và đã được gia hạn tiến độ 02 năm kể từ ngày được cấp phép xây dựng - Hiện chủ,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0269,được tính bằng cách lấy tổng doanh thu trừ các chi phí vận hành trực tiếp (như chi phí phòng,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0143,đạt hiệu quả LNTT/TMĐT ~ >=20% ở khung từ giá bán bình quân chưa VAT đạt từ 75 triệu/m2 trở lên chi phí đầu tư,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0180,đạt hiệu quả với giá mua dự án ở khoảng 17 triệu đồng/m2 ~ ngưỡng giá mua dự án 520 tỷ đồng,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
high,message_subject_variant,BDS-CURATED-0071,(FS),"Tên chứa từ khóa tiêu đề báo cáo/phương án, cần gom dự án cha"
high,suspicious_shared_coordinate,BDS-CURATED-0071,(FS),Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0124,(giá bán quỹ đất bao gồm cam kết của đối tác sẽ hỗ trợ phần đất đi vào dự án) với chi phí làm đường là 1tr/m2,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0183,(pháp lý,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0274,12ha đủ lớn để có thể địn hướng triển khai tiện ích cảnh quan,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0072,132 $/phòng/đêm 145,Có 6 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,multi_scenario_unstructured,BDS-CURATED-0001,31 Trần Não,Có 8 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,multi_scenario_unstructured,BDS-CURATED-0362,386 ha là 84,Có 6 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,multi_scenario_unstructured,BDS-CURATED-0315,48 Nguyễn Thiện Thuật,Có 5 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,suspicious_shared_coordinate,BDS-CURATED-0099,50ha thuộc huyện Vĩnh Tường – Yên Lạc,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0099,50ha thuộc huyện Vĩnh Tường – Yên Lạc,Có 10 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,suspicious_shared_coordinate,BDS-CURATED-0184,50ha ở Vĩnh Yên,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0125,53ha đấu thầu tại đường Thăng Long,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0049,54ha liền kề sân bay Phan Thiết có giá chào 860-900 tỷ,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,message_subject_variant,BDS-CURATED-0228,=> Nên chưa đánh giá hiệu quả dự án theo yếu tố dòng tiền ** Link Drive,"Tên chứa từ khóa tiêu đề báo cáo/phương án, cần gom dự án cha"
high,suspicious_shared_coordinate,BDS-CURATED-0228,=> Nên chưa đánh giá hiệu quả dự án theo yếu tố dòng tiền ** Link Drive,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0073,AK (2025)~ 4,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0159,Aqua city của Novaland đã được tháo gỡ vướng mắc về pháp lý,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0275,Aqua thì hiện nay Nova đang dừng triển khai ở dự án này,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0342,Bất động sản khảo sát,Có 10 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,suspicious_shared_coordinate,BDS-CURATED-0186,CCN Giao Yến cũng đang ở bước đầu xin dự án,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0053,Chen Sea 3,Có 6 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,multi_scenario_unstructured,BDS-CURATED-0035,Chung cư Minh Ngọc tại đường CMT8,Có 10 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,multi_scenario_unstructured,BDS-CURATED-0025,Chung cư Võ Thị Sáu,Có 6 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,multi_scenario_unstructured,BDS-CURATED-0002,Chung cư Đỗ Xuân Hợp,Có 4 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,suspicious_shared_coordinate,BDS-CURATED-0003,Chưa đặt tên,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0276,Cát Lái,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0187,Cát Lái từ P,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0101,Cù lao Tân Vạn theo đơn giá bán (đất + nhà) trung bình dựa vào các loại hình do Mr,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0055,DKC ARITA TWIN TOWER 1,Có 10 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,multi_scenario_unstructured,BDS-CURATED-0012,Diamond Garden Đào Trí Phú Thuận,Có 5 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,message_subject_variant,BDS-CURATED-0076,Giá bán đề xuất,"Tên chứa từ khóa tiêu đề báo cáo/phương án, cần gom dự án cha"
high,suspicious_shared_coordinate,BDS-CURATED-0076,Giá bán đề xuất,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0076,Giá bán đề xuất,Có 8 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,suspicious_shared_coordinate,BDS-CURATED-0277,Gladia heights dự kiến triển khai trong 2026 này,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0037,Green Hill tại Quy Nhơn,Có 6 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,multi_scenario_unstructured,BDS-CURATED-0313,H2-02,Có 4 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,suspicious_shared_coordinate,BDS-CURATED-0230,HLW - Merryaland 1,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0077,Hoa viên Vĩnh Thanh sau khi có Thông số từ P,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0038,Hoa viên Vĩnh Thanh tại đường nhánh của đường DT19,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0007,Holiday Beach,Có 4 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,message_subject_variant,BDS-CURATED-0146,Holiday Beach tại Đà Nẵng đánh giá nhanh phương án vận hành khách sạn tạm thời trong thời gian ngắn,"Tên chứa từ khóa tiêu đề báo cáo/phương án, cần gom dự án cha"
high,suspicious_shared_coordinate,BDS-CURATED-0146,Holiday Beach tại Đà Nẵng đánh giá nhanh phương án vận hành khách sạn tạm thời trong thời gian ngắn,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0322,Hải Nhân,no_reliable_coordinate; merged duplicate group needs coordinate review
high,multi_scenario_unstructured,BDS-CURATED-0322,Hải Nhân,Có 4 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,suspicious_shared_coordinate,BDS-CURATED-0102,Hải Âu tại Bãi Trường,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0323,Hội An Riverside Resort & Spa,no_reliable_coordinate; merged duplicate group needs coordinate review
high,suspicious_shared_coordinate,BDS-CURATED-0103,Hội An Riverside Resort & Spa theo Concept Lamanon và giá kinh doanh của anh David Cường cung cấp,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0231,Hội An Riverside có nhiều khả năng thay đổi concept,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0344,KCN Phước An tại xã Phước An,Có 4 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,suspicious_shared_coordinate,BDS-CURATED-0163,KDC,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,message_subject_variant,BDS-CURATED-0106,KDC An Tôn theo 02 phương án quy hoạch,"Tên chứa từ khóa tiêu đề báo cáo/phương án, cần gom dự án cha"
high,suspicious_shared_coordinate,BDS-CURATED-0106,KDC An Tôn theo 02 phương án quy hoạch,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0080,KHU DU LỊCH SINH THÁI BIỂN CAO CẤP LẠC VIỆT,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0190,KS 25 Trần Phú sẽ đi theo PA 5 tầng nổi + 1 tầng hầm,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0317,Khu gia đình quân nhân quân chủng PK-KQ (8,Có 4 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,suspicious_shared_coordinate,BDS-CURATED-0278,Khu nhà ở công nhân và chuyên gia tại xã Nhơn Trạch của Công ty TNHH Vạn Phúc,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0057,Khu trung tâm tòa nhà hỗn hợp thương mại,Có 5 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,multi_scenario_unstructured,BDS-CURATED-0082,Khu Đô Thị Mới Bắc Quán Hành - Quán Hành - Nghi Lộc - Nghệ An,Có 5 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,suspicious_shared_coordinate,BDS-CURATED-0164,Khu Đô Thị Văn Giang (Red River Villa) tại Hưng Yên,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0127,Khách sạn,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0148,Lô mặt tiền Quốc Lộ 13 Hiệp Bình Phước,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0314,Lô đất Phú Thọ Hòa Tân Phú,Có 13 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,suspicious_shared_coordinate,BDS-CURATED-0165,NOXH sẽ giúp tạo thương hiệu tích cực cho công ty trên thị trường,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,message_subject_variant,BDS-CURATED-0381,NOXH đang đánh giá khoảng 15Km Trên dưới 20 Triệu/m2 Giá đất UBND MT đường DT742 5 Triệu/m2 Theo Tổng mức đầu,"Tên chứa từ khóa tiêu đề báo cáo/phương án, cần gom dự án cha"
high,suspicious_shared_coordinate,BDS-CURATED-0191,Nguyễn Thiện Thuật và Đoàn Trần Nghiệp - Nha Trang,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0306,Ngọc Hồi Thanh Trì,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0059,Nơ Trang Long,Có 6 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,message_subject_variant,BDS-CURATED-0338,PGK phương án 900 tỷ,"Tên chứa từ khóa tiêu đề báo cáo/phương án, cần gom dự án cha"
high,suspicious_shared_coordinate,BDS-CURATED-0128,Parklane,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0307,Parklane P,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,message_subject_variant,BDS-CURATED-0345,Phú Gia Khiêm với 02 phương án,"Tên chứa từ khóa tiêu đề báo cáo/phương án, cần gom dự án cha"
high,multi_scenario_unstructured,BDS-CURATED-0060,Phú Quang,Có 4 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,message_subject_variant,BDS-CURATED-0280,Phượng Hoàng theo Chính sá… Vậy chốt PkD phương án này đi Ok Sếp,"Tên chứa từ khóa tiêu đề báo cáo/phương án, cần gom dự án cha"
high,suspicious_shared_coordinate,BDS-CURATED-0280,Phượng Hoàng theo Chính sá… Vậy chốt PkD phương án này đi Ok Sếp,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0193,Regalia Gold 4 sao tại Nha Trang,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0339,Richland,Có 7 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,suspicious_shared_coordinate,BDS-CURATED-0150,Richland Quận 9,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0150,Richland Quận 9,Có 4 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,multi_scenario_unstructured,BDS-CURATED-0009,Stown Gateway có quy mô 8816m2 tại hẻm Quốc lộ 13,Có 7 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,suspicious_shared_coordinate,BDS-CURATED-0108,Suối Nhum với giá 1180 tỷ theo hình thức chuyển nhượng 100% cổ phần cty với hiện trạng có Quy hoạch mới dự kiế,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0166,Sông Đà - Quốc Cường Gia Lai (Nguồn từ Mr Tiến R&D) có giá chào 6,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,message_subject_variant,BDS-CURATED-0151,THEO PHƯƠNG ÁN KINH DOANH ANH CƯỜNG – TMĐT Ko bao gồm ĐẤT Kết quả kinh doanh – PA vận hành 15 năm + GOP bình q,"Tên chứa từ khóa tiêu đề báo cáo/phương án, cần gom dự án cha"
high,multi_scenario_unstructured,BDS-CURATED-0109,Thanh Đa,Có 8 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,suspicious_shared_coordinate,BDS-CURATED-0281,The Bale của Được gửi giá đã giảm mà lại ko lãi hã Begin quote,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,suspicious_shared_coordinate,BDS-CURATED-0196,Thông tin quyết định chủ trương đầu tư/pháp lý dự án/thông tin quy hoạch dự án - Thông tin đơn vị khác tham,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0028,Thủ Đức Living,Có 4 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,multi_scenario_unstructured,BDS-CURATED-0085,Toàn Thịnh Phát tại Bãi Trường,Có 5 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,suspicious_shared_coordinate,BDS-CURATED-0004,Trần Đức 1 2.8ha Thuận Giao,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0004,Trần Đức 1 2.8ha Thuận Giao,Có 6 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,suspicious_shared_coordinate,BDS-CURATED-0086,Urban Green,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0086,Urban Green,Có 4 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,suspicious_shared_coordinate,BDS-CURATED-0111,Vì 2 vấn đề trên,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0111,Vì 2 vấn đề trên,Có 9 quy mô/diện tích khác nhau nhưng chưa có scenario_data
high,suspicious_shared_coordinate,BDS-CURATED-0132,Võ Văn Kiệt (Gộp 2 Lô) theo chỉ tiêu QH dự kiến điều chỉnh,Same coordinate is shared by many unrelated project names; verify before relying on map marker.
high,multi_scenario_unstructured,BDS-CURATED-0087,Văn phòng tại khu đất 197 Lê Văn Sỹ,Có 4 quy mô/diện tích khác nhau nhưng chưa có scenario_data
