a_id,a_name,b_id,b_name,score,reasons,a_date,b_date,a_coords,b_coords,a_map,b_map
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0220,Richland Quận 9,140,same_map_link; same_coord_0m,,2026-07-02,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0232,trên có diện tích hơn 77ha,140,same_map_link; same_coord_0m,,2025-08-13,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0245,Hải Nhân,140,same_map_link; same_coord_0m,,,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0252,Sông Đà - Quốc Cường Gia Lai (Nguồn từ Mr Tiến R&D) có giá chào 6,140,same_map_link; same_coord_0m,,,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0257,do mình có điều chỉnh qh 1/500,140,same_map_link; same_coord_0m,,2023-09-25,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0288,KS 25 Trần Phú sẽ đi theo PA 5 tầng nổi + 1 tầng hầm,140,same_map_link; same_coord_0m,,2025-04-28,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0297,Với phương án của mình trước là làm phân kh,140,same_map_link; same_coord_0m,,2023-09-25,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0327,triển khai chưa mng Team đã trao đổi với A Sơn Trợ lý để lên list các dự án này à,140,same_map_link; same_coord_0m,,2023-10-15,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0360,chưa bàn giao nên chưa dc vào ở à,140,same_map_link; same_coord_0m,,2025-04-11,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0363,có giá vốn đất thấp trong khi hệ số cao (trên 11 chấm),140,same_map_link; same_coord_0m,,,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0396,trên có diện tích,140,same_map_link; same_coord_0m,,2025-08-13,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0423,HAI NHAN,140,same_map_link; same_coord_0m,,,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0493,Parklane P,140,same_map_link; same_coord_0m,,,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0502,thì họ sẽ làm như thế nào Huy M - IM Rồi anh tính phương án thử by Admin 01,140,same_map_link; same_coord_0m,,,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0503,đã được đưa vào danh sách thí điểm 171 Số thự tự 41,140,same_map_link; same_coord_0m,,,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0003,cao tầng Icon Plaza,BDS-MASTER-0299,cao tầng phải đầu tư 2–3 tầng hầm Trường hợp cần rà soát chi tiết và cập nhật chính xác hơn,140,same_map_link; same_coord_0m,2025-03-14,2026-05-27,"10.9572431, 106.7389459","10.9572431, 106.7389459",https://maps.app.goo.gl/xomcfbw3UHPYcLxG8,https://maps.app.goo.gl/xomcfbw3UHPYcLxG8
BDS-MASTER-0003,cao tầng Icon Plaza,BDS-MASTER-0332,đối diện hiện tại là giá chào của khách lẻ,140,same_map_link; same_coord_0m,2025-03-14,,"10.9572431, 106.7389459","10.9572431, 106.7389459",https://maps.app.goo.gl/xomcfbw3UHPYcLxG8,https://maps.app.goo.gl/xomcfbw3UHPYcLxG8
BDS-MASTER-0003,cao tầng Icon Plaza,BDS-MASTER-0428,Phượng Hoàng theo Chính sách bán hàng mới từ Mr Cường (SM),140,same_map_link; same_coord_0m,2025-03-14,2025-09-10,"10.9572431, 106.7389459","10.9572431, 106.7389459",https://maps.app.goo.gl/xomcfbw3UHPYcLxG8,https://maps.app.goo.gl/xomcfbw3UHPYcLxG8
BDS-MASTER-0003,cao tầng Icon Plaza,BDS-MASTER-0459,này sau phải tăng chi phí này lên by Unknown User,140,same_map_link; same_coord_0m,2025-03-14,2025-03-14,"10.9572431, 106.7389459","10.9572431, 106.7389459",https://maps.app.goo.gl/xomcfbw3UHPYcLxG8,https://maps.app.goo.gl/xomcfbw3UHPYcLxG8
BDS-MASTER-0004,Cao tầng 31 Trần Não,BDS-MASTER-0104,Bãi Kèo Phú Quốc,140,same_map_link; same_coord_0m,2025-02-11,,"10.7964935, 106.7288642","10.7964935, 106.7288642",https://maps.app.goo.gl/AoJAreLLvUUHzVVw5,https://maps.app.goo.gl/AoJAreLLvUUHzVVw5
BDS-MASTER-0004,Cao tầng 31 Trần Não,BDS-MASTER-0201,này có các vấn đề pháp lý chưa rõ và cần Phòng pháp lý dự án đánh giá chi tiết,140,same_map_link; same_coord_0m,2025-02-11,2025-06-05,"10.7964935, 106.7288642","10.7964935, 106.7288642",https://maps.app.goo.gl/AoJAreLLvUUHzVVw5,https://maps.app.goo.gl/AoJAreLLvUUHzVVw5
BDS-MASTER-0004,Cao tầng 31 Trần Não,BDS-MASTER-0317,này hiện chỉ đóng tiền sử dụng đát trên diện tích đất xây dựng thay vì diện tích đất toàn khu đối với toàn khu,140,same_map_link; same_coord_0m,2025-02-11,2025-03-16,"10.7964935, 106.7288642","10.7964935, 106.7288642",https://maps.app.goo.gl/AoJAreLLvUUHzVVw5,https://maps.app.goo.gl/AoJAreLLvUUHzVVw5
BDS-MASTER-0005,Khu gia đình quân nhân quân chủng PK-KQ (8,BDS-MASTER-0333,ạ! Về phần diện tích đất cũng same same với nh,140,same_map_link; same_coord_0m,,2023-06-07,"10.958864, 106.824125","10.958864, 106.824125",https://maps.app.goo.gl/ET75kfpwVX837fEE6; https://maps.app.goo.gl/47PLkeuNfzKvw38w8; https://maps.app.goo.gl/RXcEPNYx6EwAbDxF9,https://maps.app.goo.gl/ET75kfpwVX837fEE6; https://maps.app.goo.gl/47PLkeuNfzKvw38w8; https://maps.app.goo.gl/RXcEPNYx6EwAbDxF9
BDS-MASTER-0006,NOXH khu vực Nhơn Trạch,BDS-MASTER-0012,NOXH khu vực Phước An,140,same_map_link; same_coord_0m,,2025-07-14,"10.674157, 106.929268","10.674157, 106.929268",https://maps.app.goo.gl/Fsyo4xmwK3kmzbC9A; https://maps.app.goo.gl/hMM3KEF5KhFhsZJi7,https://maps.app.goo.gl/Fsyo4xmwK3kmzbC9A; https://maps.app.goo.gl/hMM3KEF5KhFhsZJi7
BDS-MASTER-0006,NOXH khu vực Nhơn Trạch,BDS-MASTER-0111,Phú Quang,140,same_map_link; same_coord_0m,,2025-07-15,"10.674157, 106.929268","10.674157, 106.929268",https://maps.app.goo.gl/Fsyo4xmwK3kmzbC9A; https://maps.app.goo.gl/hMM3KEF5KhFhsZJi7,https://maps.app.goo.gl/Fsyo4xmwK3kmzbC9A; https://maps.app.goo.gl/hMM3KEF5KhFhsZJi7
BDS-MASTER-0006,NOXH khu vực Nhơn Trạch,BDS-MASTER-0384,nêu trên (QĐ 789 cho khu đất 2,140,same_map_link; same_coord_0m,,2025-06-26,"10.674157, 106.929268","10.674157, 106.929268",https://maps.app.goo.gl/Fsyo4xmwK3kmzbC9A; https://maps.app.goo.gl/hMM3KEF5KhFhsZJi7,https://maps.app.goo.gl/Fsyo4xmwK3kmzbC9A; https://maps.app.goo.gl/hMM3KEF5KhFhsZJi7
BDS-MASTER-0007,Diamond Garden Đào Trí Phú Thuận,BDS-MASTER-0237,1 - Lợi nhuận trước thuế/TMĐT 22,140,same_map_link; same_coord_0m,,2024-09-18,"10.727928, 106.742496","10.727928, 106.742496",https://maps.app.goo.gl/GdiSL1z7fBFtk3tr8,https://maps.app.goo.gl/GdiSL1z7fBFtk3tr8
BDS-MASTER-0007,Diamond Garden Đào Trí Phú Thuận,BDS-MASTER-0313,là 300 tỷ - Độ nhạy Lợi nhuận trước thuế / Tổng mức đầu tư của dự án với 2 biến số,140,same_map_link; same_coord_0m,,,"10.727928, 106.742496","10.727928, 106.742496",https://maps.app.goo.gl/GdiSL1z7fBFtk3tr8,https://maps.app.goo.gl/GdiSL1z7fBFtk3tr8
BDS-MASTER-0008,Hermes Power 1,BDS-MASTER-0079,theo Quyết định 425 của Bộ Xây dựng áp dụng cho năm 2026,140,same_map_link; same_coord_0m,,2025-09-11,"10.784153, 106.725690","10.784153, 106.725690",https://maps.app.goo.gl/qDbb6mJHvwhXw4Az6,https://maps.app.goo.gl/qDbb6mJHvwhXw4Az6
BDS-MASTER-0008,Hermes Power 1,BDS-MASTER-0265,này hồi xưa mình có thông tin nhưng sau đó đề xuất là không quan tâm sâu do có 2 nhược điểm lớn là,140,same_map_link; same_coord_0m,,2023-09-07,"10.784153, 106.725690","10.784153, 106.725690",https://maps.app.goo.gl/qDbb6mJHvwhXw4Az6,https://maps.app.goo.gl/qDbb6mJHvwhXw4Az6
BDS-MASTER-0009,Hội An Riverside Resort & Spa,BDS-MASTER-0156,Hội An Riverside Resort & Spa theo Concept Lamanon và giá kinh doanh của anh David Cường cung cấp,140,same_map_link; same_coord_0m,2024-12-25,,"15.8884285, 108.3559502","15.8884285, 108.3559502",https://maps.app.goo.gl/zNrudtbb4kMk2xxv5,https://maps.app.goo.gl/zNrudtbb4kMk2xxv5
BDS-MASTER-0009,Hội An Riverside Resort & Spa,BDS-MASTER-0240,Aqua city của Novaland đã được tháo gỡ vướng mắc về pháp lý,140,same_map_link; same_coord_0m,2024-12-25,2024-11-19,"15.8884285, 108.3559502","15.8884285, 108.3559502",https://maps.app.goo.gl/zNrudtbb4kMk2xxv5,https://maps.app.goo.gl/zNrudtbb4kMk2xxv5
BDS-MASTER-0009,Hội An Riverside Resort & Spa,BDS-MASTER-0248,Khu Đô Thị Văn Giang (Red River Villa) tại Hưng Yên,140,same_map_link; same_coord_0m,2024-12-25,,"15.8884285, 108.3559502","15.8884285, 108.3559502",https://maps.app.goo.gl/zNrudtbb4kMk2xxv5,https://maps.app.goo.gl/zNrudtbb4kMk2xxv5
BDS-MASTER-0009,Hội An Riverside Resort & Spa,BDS-MASTER-0272,đạt hiệu quả với giá mua dự án ở khoảng 17 triệu đồng/m2 ~ ngưỡng giá mua dự án 520 tỷ đồng,140,same_map_link; same_coord_0m,2024-12-25,,"15.8884285, 108.3559502","15.8884285, 108.3559502",https://maps.app.goo.gl/zNrudtbb4kMk2xxv5,https://maps.app.goo.gl/zNrudtbb4kMk2xxv5
BDS-MASTER-0009,Hội An Riverside Resort & Spa,BDS-MASTER-0411,ở vị trí khác nên phương án kinh doanh đưa lên không còn chính xác,140,same_map_link; same_coord_0m,2024-12-25,2025-09-23,"15.8884285, 108.3559502","15.8884285, 108.3559502",https://maps.app.goo.gl/zNrudtbb4kMk2xxv5,https://maps.app.goo.gl/zNrudtbb4kMk2xxv5
BDS-MASTER-0009,Hội An Riverside Resort & Spa,BDS-MASTER-0412,12ha đủ lớn để có thể địn hướng triển khai tiện ích cảnh quan,140,same_map_link; same_coord_0m,2024-12-25,,"15.8884285, 108.3559502","15.8884285, 108.3559502",https://maps.app.goo.gl/zNrudtbb4kMk2xxv5,https://maps.app.goo.gl/zNrudtbb4kMk2xxv5
BDS-MASTER-0010,KDC Long Phước có quy mô 18ha tại Phường Long Phước,BDS-MASTER-0072,Long Thuận Long Phước Quận 9 10ha,140,same_map_link; same_coord_0m,2023-12-27,,"10.7959339, 106.8592858","10.7959339, 106.8592858",https://maps.app.goo.gl/zAmPVdt254bS1UUU7,https://maps.app.goo.gl/zAmPVdt254bS1UUU7
BDS-MASTER-0011,Lô đất Phú Thọ Hòa Tân Phú,BDS-MASTER-0051,theo Sổ cấp 2017 là 10,140,same_map_link; same_coord_0m,,,"10.860864, 106.699926","10.860864, 106.699926",https://maps.app.goo.gl/bKZVkKUcnYGRLJWw5,https://maps.app.goo.gl/bKZVkKUcnYGRLJWw5
BDS-MASTER-0011,Lô đất Phú Thọ Hòa Tân Phú,BDS-MASTER-0322,rà soát và làm rõ các điểm pháp lý sau,140,same_map_link; same_coord_0m,,2025-10-01,"10.860864, 106.699926","10.860864, 106.699926",https://maps.app.goo.gl/bKZVkKUcnYGRLJWw5,https://maps.app.goo.gl/bKZVkKUcnYGRLJWw5
BDS-MASTER-0011,Lô đất Phú Thọ Hòa Tân Phú,BDS-MASTER-0392,tham gia để đánh giá thêm về chuyên mô á Sếp,140,same_map_link; same_coord_0m,,2026-05-27,"10.860864, 106.699926","10.860864, 106.699926",https://maps.app.goo.gl/bKZVkKUcnYGRLJWw5,https://maps.app.goo.gl/bKZVkKUcnYGRLJWw5
BDS-MASTER-0012,NOXH khu vực Phước An,BDS-MASTER-0111,Phú Quang,140,same_map_link; same_coord_0m,2025-07-14,2025-07-15,"10.674157, 106.929268","10.674157, 106.929268",https://maps.app.goo.gl/Fsyo4xmwK3kmzbC9A; https://maps.app.goo.gl/hMM3KEF5KhFhsZJi7,https://maps.app.goo.gl/Fsyo4xmwK3kmzbC9A; https://maps.app.goo.gl/hMM3KEF5KhFhsZJi7
BDS-MASTER-0012,NOXH khu vực Phước An,BDS-MASTER-0384,nêu trên (QĐ 789 cho khu đất 2,140,same_map_link; same_coord_0m,2025-07-14,2025-06-26,"10.674157, 106.929268","10.674157, 106.929268",https://maps.app.goo.gl/Fsyo4xmwK3kmzbC9A; https://maps.app.goo.gl/hMM3KEF5KhFhsZJi7,https://maps.app.goo.gl/Fsyo4xmwK3kmzbC9A; https://maps.app.goo.gl/hMM3KEF5KhFhsZJi7
BDS-MASTER-0013,Trần Hưng Đạo,BDS-MASTER-0097,2769m2 Hoàng Sa Đà Nẵng (chưa bao gồm TSDĐ bổ sung),140,same_map_link; same_coord_0m,,2025-06-05,"16.051348, 108.233637","16.051348, 108.233637",https://maps.app.goo.gl/acrdQ54V3NVNNkKh9,https://maps.app.goo.gl/acrdQ54V3NVNNkKh9
BDS-MASTER-0013,Trần Hưng Đạo,BDS-MASTER-0208,đạt tỷ lệ LNTT/TMĐT 15% ~ 290 tỷ đồng ~ đơn giá 137,140,same_map_link; same_coord_0m,,,"16.051348, 108.233637","16.051348, 108.233637",https://maps.app.goo.gl/acrdQ54V3NVNNkKh9,https://maps.app.goo.gl/acrdQ54V3NVNNkKh9
BDS-MASTER-0014,Urban Green / Bình Thái,BDS-MASTER-0125,Cát Lái - Sky Habitat,140,same_map_link; same_coord_0m,,,"10.8456644, 106.7620502","10.8456644, 106.7620502",https://maps.app.goo.gl/dRnRPbNFPmCfsTHAA,https://maps.app.goo.gl/dRnRPbNFPmCfsTHAA
BDS-MASTER-0014,Urban Green / Bình Thái,BDS-MASTER-0381,này sao tiền sử dụng đất cao vậy Dự án được tính tiền sử dụng đất theo phươn,140,same_map_link; same_coord_0m,,2024-10-07,"10.8456644, 106.7620502","10.8456644, 106.7620502",https://maps.app.goo.gl/dRnRPbNFPmCfsTHAA,https://maps.app.goo.gl/dRnRPbNFPmCfsTHAA
BDS-MASTER-0015,đấu giá 102ha,BDS-MASTER-0065,gồm Chung cư cao tầng gồm 02 Hầm + 02 tầng Khối đế + 26 tầng căn hộ (trong đó căn hộ NOXH chiếm 20% tổng số că,140,same_map_link; same_coord_0m,,2023-08-03,"10.686804, 106.936193","10.686804, 106.936193",https://maps.app.goo.gl/QVMCmJp83pMBNKrL8,https://maps.app.goo.gl/QVMCmJp83pMBNKrL8
