master_id,project_name,query,lat,lng,display_name,class,type,importance,confidence_score,status
BDS-MASTER-0126,Cảng Sài Gòn – Thép Việt,"và kết nối, tiềm năng hạ tầng: - Cả 2 dự án nằm trong khu bến cảng Cái Mép – Thị Vải (thuộc cảng biển Bà Rịa – Vũng Tàu một trong 2 cảng biển loại đặc biệt lớn nhất cả nước, cùng với Cảng biển Hải Phòng), tiếp giáp với đ, Cảng Sài Gòn – Thép Việt, Long Thành, Bà Rịa Vũng Tàu 1",,,,,,,0,no_result
BDS-MASTER-0085,Felicia Đà Nẵng,"- Mặt tiền tiếp giáp đường Võ Nguyên Giáp, cách giao lộ đường Võ Nguyên Giáp và Võ Văn Kiệt khoảng 1,2km, cách giao lộ đường Võ Nguyên Giáp và Hồ Xuân Hương khoảng 1,4km - Bên trái giáp Serene Beach, cách Holiday Beach k, Felicia Đà Nẵng, Ngũ Hành Sơn, Đà Nẵng",,,,,,,0,no_result
BDS-MASTER-0128,Hoa viên Vĩnh Thanh sau khi có Thông số từ P,"theo đường phố (hoặc đường giao thông chính) cùng khu vực. - Hiện trạng đường tiếp giáp dự án chưa có tên, rộng >5m và cách đường Hùng Vương hơn 1Km, vì thế lấy theo Vị trí 3 đường Hùng Vương đoạn qua xã Vĩnh Thanh: 1.2t, Hoa viên Vĩnh Thanh sau khi có Thông số từ P, Đồng Nai",,,,,,,0,no_result
BDS-MASTER-0155,Hải Âu tại Bãi Trường,"Dự án nằm phía cuối Bãi Trường, có phần biển dài khoảng 250m, tiếp giáp đường Trần Hưng Đạo, cách dự án MeyHomes khoảng 2,3km. Hiện trạng: Dự án hiện có các công trình đang xây dựng, tuy nhiên không xác định rõ được tiến, Hải Âu tại Bãi Trường, Phú Quốc",,,,,,,0,no_result
BDS-MASTER-0213,Hội An Riverside Resort & Spa,"- Tiếp giáp mặt tiền đường Cửa Đại, đường trải nhựa, đường rộng khoảng 10m; Phía Tây dự án tiếp giáp sông Cổ Cò. - Cách giao lộ đường Cửa Đại và Võ Chí Công khoảng 450m. - Cách Bãi Biển khoảng 1,5km. - Cách trung tâm hàn, Hội An Riverside Resort & Spa, Hội An, Quảng Nam",,,,,,,0,no_result
BDS-MASTER-0158,KCN Phước An tại xã Phước An,"xã Phước An, huyện Nhơn Trạch, tỉnh Đồng Nai Định vị: KCN Phước An Giai đoạn 1+2 và Giai đoạn 3 – Cảng Phước An Diện tích: - Giai đoạn 1: 330 ha - Giai đoạn 2: 220 ha - Giai đoạn 3: 183 ha => Tổng 3 giai đoạn: 733 ha Mục, KCN Phước An tại xã Phước An, Nhơn Trạch, Đồng Nai",,,,,,,0,no_result
BDS-MASTER-0130,KCN Thái Hòa – Liễn Sơn – Liên Hòa - Khu vực 1 (284 ha) thuộc địa phận các xã,"Cách đường Quốc lộ 2C khoảng 80m. Nằm ở giáp ranh giữa Vĩnh Phúc và Tuyên Quang, là khu công nghiệp có vị trí xa nhất khi hướng về Hà Nội và Hải Phòng Cách trung tâm Thành phố Vĩnh Yên khoảng 22km Cách đường Vành Đai 5 (, KCN Thái Hòa – Liễn Sơn – Liên Hòa - Khu vực 1 (284 ha) thuộc địa phận các xã, Vĩnh Phúc",,,,,,,0,no_result
BDS-MASTER-0131,KDC Minh Hưng tại xã Minh Hưng,"và quy hoạch tương lai khu vực: - Có đường vào giáp mặt tiền QL13 (rộng 16m), xã Minh Hưng, Huyện Chơn Thành, Tỉnh Bình Phước. Cách KDC Đại Nam khoảng 1Km. - Về hạ tầng giao thông: Trong tương lai, các đường cao tốc TPHC, KDC Minh Hưng tại xã Minh Hưng, TPHCM",,,,,,,0,no_result
BDS-MASTER-0216,Khu du lịch,"giữa 2 khu đất trên, NVL đã thực hiện nộp thêm 53 tỷ (tiền chênh lệch) và được ghi nhận vào năm 2016. Như vậy đối với nghĩa vụ tiền sử dụng đất phải nộp để thực hiện dự án NOTM Lakeview, NVL đã bỏ ra tiền bồi thường giải, Khu du lịch, TP.HCM",,,,,,,0,no_result
BDS-MASTER-0107,Khu nhà ở Đại Quang Minh,"Tiếp giáp đường D4 (vào bằng đường Thuận Giao 09), Thuận Giao, Thuận An, Bình Dương. - Link map: https://goo.gl/maps/GPVNSt7Q6a73xSKHA - Hiện trạng: HTKT đã hoàn thành, 08/20 căn đã bán xây dựng xong phần thô, phần 12 că, Khu nhà ở Đại Quang Minh, Thuận Giao, Bình Dương",,,,,,,0,no_result
BDS-MASTER-0109,Khu Đô Thị Mới Hậu Nghĩa - Đức Hòa,"https://goo.gl/maps/KCGefw7KgVDUzTPh7 2/ Thông tin: - Năm 2018 VinGroup có văn bản Đề xuất lập quy hoạch đầu tư dự án Khu đô thị mới Hậu Nghĩa – Đức Hòa, vì thế hiện nay trên các trang thông tin (Guland, các báo điện tử,, Khu Đô Thị Mới Hậu Nghĩa - Đức Hòa, Long An",,,,,,,0,no_result
BDS-MASTER-0161,Khu đất Ngô Chí Quốc Bình Chiểu Thủ Đức,"và hiện trạng: a. Vị trí: - Vị trí: Khu đất nằm trên mặt tiền đường Ngô Chí Quốc, Bình Chiểu, Thủ Đức, TPHCM. - Link map: https://goo.gl/maps/Empzn8zwhyULFrqV8 - Khu đất có vị trí nằm trong phần địa giới TP.HCM giáp ranh, Khu đất Ngô Chí Quốc Bình Chiểu Thủ Đức, Thủ Đức, TPHCM",,,,,,,0,no_result
BDS-MASTER-0189,Phú Quang khoảng 350m + Có 2 mặt tiếp xúc kênh rạch II/ Kết nối giao thông đến dự án,"+ Khu đất có mặt tiền rộng khoảng 200m, tiếp giáp đường 4A đi ra hướng đường Ngô Chí Quốc và Quốc lộ 13 + Cách Dự án Phú Quang khoảng 350m + Có 2 mặt tiếp xúc kênh rạch II/ Kết nối giao thông đến dự án: Khu đất tiếp giáp, Phú Quang khoảng 350m + Có 2 mặt tiếp xúc kênh rạch II/ Kết nối giao thông đến dự án, Thủ Đức, TPHCM",,,,,,,0,no_result
BDS-MASTER-0057,Stown Gateway có quy mô 8816m2 tại hẻm Quốc lộ 13,"và hiện trạng: - Nằm cách Quốc lộ 13 khoảng 50m, cách dự án Phú Quang khoảng 2.5km đường … Này ai gửi nhỉ Image by Unknown User, Stown Gateway có quy mô 8816m2 tại hẻm Quốc lộ 13, Bình Dương",,,,,,,0,no_result
BDS-MASTER-0137,Toàn Thịnh Phát tại Bãi Trường,"Dự án nằm phía cuối Bãi Trường, có phần biển dài khoảng 350m, tiếp giáp đường Trần Hưng Đạo, cách dự án MeyHomes khoảng 1,5km Pháp lý dự án: Pháp lý đất: Trả tiền thuê đất cho 8,5ha đất TMDV có thời hạn đến năm 2064 tron, Toàn Thịnh Phát tại Bãi Trường, Phú Quốc",,,,,,,0,no_result
BDS-MASTER-0165,Vì 2 vấn đề trên,"và hiện trạng: 📄 … KĐT gửi anh Tuan Tran-CEO báo cáo cập nhật tình hình nghiên cứu quỹ đất 3.4ha tại đường Nguyễn Hữu Thọ, Nhà Bè, nay bổ sung thêm diện tích đất có tổng quy mô 3.97ha, giá chào bán 17tr/m2 đất tương đươn, Vì 2 vấn đề trên, TPHCM",,,,,,,0,no_result
BDS-MASTER-0167,Vương Bảo Long (kèm đánh giá pháp lý) *Hiện trạng,"Đường Bà Giang, An Bình, Dĩ An, Bình Dương. - Khu đất có 02 lối tiếp cận chính: + Đường Bà Giang - lối tiếp cận chính - bề rộng giáp đường rộng khoảng 16m. + Đường vào nghĩa trang - cập phía bên hông khu đất - bề rộng gi, Vương Bảo Long (kèm đánh giá pháp lý) *Hiện trạng, Bình Dương",,,,,,,0,no_result
BDS-MASTER-0074,cao tầng Việt An,"Tiếp giáp đường D4 (vào bằng đường Thuận Giao 09), Thuận Giao, Thuận An, Bình Dương. • Link map: https://goo.gl/maps/xNEqZWHrXNzKYLHe6 • Hiện trạng: Đất trống + Nhà xưởng tạm. • Quy mô: Dự án cao tầng gồm 02 khối tháp, m, cao tầng Việt An, Thuận Giao, Bình Dương",,,,,,,0,no_result
BDS-MASTER-0194,cao tầng với tổng diện tích đất dự án là 10,"và hiện trạng: - Dự án cao tầng với tổng diện tích đất dự án là 10,490m2 - Giá chuyển nhượng: 65tr/m2 cho phần diện tích chuyển mục đích sử dụng đất - 10,490m2 và đảm bảo phải phù hợp Quy hoạch 1/2000 và 1/500 tương đươn, cao tầng với tổng diện tích đất dự án là 10, Phú Quốc",,,,,,,0,no_result
BDS-MASTER-0056,chung cư Thuận Nghiệp - DT743C,"DT743C, P.Tân Đông Hiệp, Dĩ An, Bình Dương. Diện tích: 22.394 m2 Hiện trạng: Cho thuê kho bãi 2. Pháp lý dự án: 2.1.Pháp lý đất: Khu đất dự án là 100% đất SKC, đất thuê trả tiền hàng năm có thời hạn sử dụng đất đến 2031., chung cư Thuận Nghiệp - DT743C, Bình Dương",,,,,,,0,no_result
BDS-MASTER-0089,chung cư Thành Lộc với tổng diện tích đất phù hợp quy hoạch để thực hiện dự án là 8,"dự án: Dự án nằm trên đường Hồ Văn Mên (Quy hoạch làm tuyến đường vành đai 3) có bán kính cách thành phố mới Bình Dương 10 km, Khu công nghiệp VSIP 1 4km và sân bay Tân Sơn Nhất 15 km. 2. Pháp lý đất: Diện tích đất 9582., chung cư Thành Lộc với tổng diện tích đất phù hợp quy hoạch để thực hiện dự án là 8, Bình Dương",,,,,,,0,no_result
BDS-MASTER-0063,chung cư tại Tân Bình,"và hiện trạng: - Dự án có 2 mặt tiền hẻm: 1 hẻm bê tông kế nối đường Thanh Niên và 1 hẻm bê tông kết nối đường Nguyễn Thị Minh Khai, Phường Tân Bình, TP Dĩ An, Bình Dương - Cách Đường Mỹ Phước Tân Vạn 640m - Cách Đường D, chung cư tại Tân Bình, Biên Hòa, Bình Dương",,,,,,,0,no_result
BDS-MASTER-0255,chỉ mới trong giai đoạn pháp lý đền bù GPMB thì được xem là quỹ đất và được định giá lại theo phương thức giá,"trụ sở: 36 Nguyễn Thái Học, P.7, Tp.Vũng Tàu - Thị giá cổ phiếu (07/05/2025): 23.400 đồng/cp - Số lượng cổ phiếu lưu hành: 178.354.966 cổ phần b. Các giả định trong bài tính - Đối với dự án chỉ mới trong giai đoạn pháp l, chỉ mới trong giai đoạn pháp lý đền bù GPMB thì được xem là quỹ đất và được định giá lại theo phương thức giá, Bà Rịa – Vũng Tàu - Vị trí trụ sở: 36 Nguyễn Thái Học",,,,,,,0,no_result
BDS-MASTER-0076,có 1 mặt tiền đường Song Hành rộng khoảng 110m của đường Xa lộ Hà Nội,"và hiện trạng: Dự án có 1 mặt tiền đường Song Hành rộng khoảng 110m của đường Xa lộ Hà Nội, và 1 mặt tiền đường Linh Trung rộng khoảng 200m tại P.Linh Trung, Thủ Đức, TPHCM Dự án nằm cách điểm lên ga Metro khoảng 500m, c, có 1 mặt tiền đường Song Hành rộng khoảng 110m của đường Xa lộ Hà Nội, Thủ Đức, TPHCM",,,,,,,0,no_result
BDS-MASTER-0064,có 2 mặt tiền đường Thuận An Hóa rộng khoảng 60m,"và hiện trạng: Dự án có 2 mặt tiền đường Thuận An Hóa rộng khoảng 60m, và mặt tiền đường An Phú 11 rộng khoảng 175m Nằm cách đường Mỹ Phước – Tân Vạn khoảng 80m, cách Quốc lộ 13 khoảng 3.5km, cách địa phận TPHCM khoảng 1, có 2 mặt tiền đường Thuận An Hóa rộng khoảng 60m, Bình Dương",,,,,,,0,no_result
BDS-MASTER-0090,có mặt tiền rộng khoảng 100m ngay đường Nguyễn Hữu Thọ,"và hiện trạng: - Dự án có mặt tiền rộng khoảng 100m ngay đường Nguyễn Hữu Thọ, Nhà Bè, TPHCM, cách đường Nguyễn Văn Linh, Q7 khoảng 5km, cách trung tâm Q1 khoảng 11km, cách sân bay Tân Sơn Nhất khoảng 17km - Nằm đối diện, có mặt tiền rộng khoảng 100m ngay đường Nguyễn Hữu Thọ, TPHCM",,,,,,,0,no_result
BDS-MASTER-0170,có tỷ lệ LNTT/TMDT đạt hiệu quả nhưng không đạt hiệu quả về chỉ tiêu IRR,"https://goo.gl/maps/eqfdgJBc7XT7VhAW8 Link hồ sơ: 50ha Vĩnh Phúc - OneDrive (sharepoint.com) Google Maps Tìm kiếm các doanh nghiệp địa phương, xem bản đồ và tìm chỉ đường trên Google Maps. goo.gl Image Vị trí dự án 50ha, có tỷ lệ LNTT/TMDT đạt hiệu quả nhưng không đạt hiệu quả về chỉ tiêu IRR, Vĩnh Phúc",,,,,,,0,no_result
BDS-MASTER-0116,khu nhà ở Lộc Phú Gia với tổng diện tích đất thực hiện dự án là 690,"dự án: - Dự án tiếp giáp 2 mặt tiền đường hiện hữu: + Mặt tiền tiếp giáp khoảng 643m, giáp đường ĐH 505, đường nhựa rộng khoảng 10m (QH đường dự kiến 32m); + Mặt tiền tiếp giáp đường khoảng 95m, giáp đường ĐH 507 đường n, khu nhà ở Lộc Phú Gia với tổng diện tích đất thực hiện dự án là 690, Bình Dương",,,,,,,0,no_result
BDS-MASTER-0141,khu nhà ở Tân Mai (thuộc danh sách dự kiến đấu giá tại Đồng Nai 2026) A) Thông tin chung,"P.Trấn Biên, Đồng Nai - Diện tích toàn khu: 131.690,94 m2 - Mục đích dự án theo QH sử dụng đất và QH xây dựng: KDC nhà ở kết hợp TMDV, cơ sở giáo dục – văn hóa – y tế. B) Định giá đất theo hiệu quả dự án: - Giả định kinh, khu nhà ở Tân Mai (thuộc danh sách dự kiến đấu giá tại Đồng Nai 2026) A) Thông tin chung, Biên Hòa, Đồng Nai",,,,,,,0,no_result
BDS-MASTER-0117,khu tổ hợp văn phòng cho thuê,"dự án: Dự án cách sân bay khoảng 5Km, cách trung tâm quận Hải Châu khoảng 2Km, cách bãi tắm Phạm Văn Đồng khoảng 1Km. Dự án có 4 mặt tiền đường Phạm Văn Đồng, Chính Hữu, Dương Đình Nghệ, Lý Văn Tố tuy nhiên hình dạng lô, khu tổ hợp văn phòng cho thuê, Đà Nẵng",,,,,,,0,no_result
BDS-MASTER-0144,không đạt hiệu quả tài chính,"https://goo.gl/maps/AivqKgNA3GRARDNZ7 Link hồ sơ: https://belgroupvn.sharepoint.com/:f:/s/BeeGroupCEOOffice-03.KhiuT/Etmt7yNBh7FAocEwZEduLDgB98w43UUGiZXejtAUkUneSg?e=ooQRz3 *Thị trường Văn phòng: Image by Thao L - INVT, không đạt hiệu quả tài chính, Vĩnh Phúc",,,,,,,0,no_result
BDS-MASTER-0176,nhà ở khi chuyển mục đích sang đất ở theo Luật Đất đai sẽ phải thực hiện đấu giá đối với hiện trạng các khu đấ,"của dự án và trong trường hợp thực hiện sẽ bị điều chỉnh thời hạn từ “Lâu dài” sang “50 năm kề từ thời điểm giao đất” Theo thông tin đối tác chào là dự án đã hoàn thành nghĩa vụ tài chính và chuyển sang làm đ, nhà ở khi chuyển mục đích sang đất ở theo Luật Đất đai sẽ phải thực hiện đấu giá đối với hiện trạng các khu đấ, Đà Nẵng",,,,,,,0,no_result
BDS-MASTER-0199,nhà ở xã hội UBND Đồng Nai mời quan tâm đấu thầu,"6 dự án:Hạng mụcVị trí 1Vị trí 2Vị trí 3Vị trí 4Vị trí 5Vị trí 6Vị tríĐoàn văn Cừ, P.Tam Hiệp, Biên HòaKhu TĐC Long Bình, P.Long Bình, Biên HòaKhu TĐC đường tránh QL1A, Phước Tân, Biê… Sau khi đánh giá các dự án và cũng, nhà ở xã hội UBND Đồng Nai mời quan tâm đấu thầu, Biên Hòa, Đồng Nai",,,,,,,0,no_result
BDS-MASTER-0200,này --- [] Monday,"thuận lợi đã phát triển thành KCN hiện hữu, quỹ đất trống còn lại chủ yếu là diện tích mở rộng của các KCN hiện hữu. Trong phạm vi 30 km: + Đồng Nai: các quỹ đất KCN đã được các CĐT quan tâm và giữ chỗ trước. Vì vậy, BP, này --- [] Monday, Long Thành, Đồng Nai",,,,,,,0,no_result
BDS-MASTER-0202,này nằm trong KCN Thái Hòa-Liễn Sơn-Liên Hòa Khu vực II Vị trí KCN,"KCN: Link https://goo.gl/maps/ZVuC7... by Unknown User, này nằm trong KCN Thái Hòa-Liễn Sơn-Liên Hòa Khu vực II Vị trí KCN, Vĩnh Phúc",,,,,,,0,no_result
BDS-MASTER-0147,thuộc trường hợp giao đất không thông qua đấu giá quyền sử dụng đất - Hồ sơ pháp lý,"Cách Chợ Đầu Mối Bình Điền khoảng 400m Cách ranh Quận 8 và huyện Bình Chánh khoảng 150m Cách UBND huyện Bình Chánh khoảng 3,2km Cách nút giao Vành Đai 2 - Nguyễn Văn Linh khoảng 2,2km 2/ Hiện trạng: Toàn bộ khu đất đã có, thuộc trường hợp giao đất không thông qua đấu giá quyền sử dụng đất - Hồ sơ pháp lý, Quận 8, TP.HCM",,,,,,,0,no_result
BDS-MASTER-0094,thấp tầng SADACO – Phú Mỹ,"- Tiếp giáp mặt tiền đường Tô Nguyệt Đình, cách đường Quốc lộ 51 khoảng 5km - Dự án giáp ranh tỉnh Bà Rịa Vũng Tàu và tỉnh Đồng Nai - Cách UBND TP. Phú Mỹ khoảng 12km - Cách sân bay Quốc tế Long Thành khoảng 20km - Cách, thấp tầng SADACO – Phú Mỹ, Long Thành, Bà Rịa – Vũng Tàu như sau: 1/ Vị trí: - Tiếp giáp mặt tiền đường Tô Nguyệt Đình",,,,,,,0,no_result
BDS-MASTER-0231,trong Khu Công Nghiệp tỉnh Vĩnh Phúc,"ở đâu nha mng by Unknown User, trong Khu Công Nghiệp tỉnh Vĩnh Phúc, Vĩnh Phúc",,,,,,,0,no_result
BDS-MASTER-0068,tại 353 Nơ Trang Long,"và thông tin Quy hoạch: https://www.google.com/maps/d/edit?mid=1Fl7DvT-DOnJvyHZ0Oq5v-nUadBLGHFo&usp=sharing + Diện tích đất: 3.399 m2, diện tích phù hợp QH (Sau khi trừ lộ giới) 3.195 m2; + Chỉ tiêu QH theo 1/2000 được d, tại 353 Nơ Trang Long, TPHCM",,,,,,,0,no_result
BDS-MASTER-0148,được chào về tại Bình Dương,"và hiện trạng: - Hiện trạng dự án là nhà xưởng bề rộng tiếp giáp đường Bình Chuẩn 69 khoảng 100m. - Dự án có 02 lối tiếp cận: + Tiếp giáp Đường Bình Chuẩn 69: bề rộng nhỏ (chỉ vừa 1 oto, rộng khoảng 4-5m); + Đường Bình C, được chào về tại Bình Dương, Bình Dương",,,,,,,0,no_result
BDS-MASTER-0274,đấu thầu tại Đà Nẵng,", khoảng cách đến trung tâm thành phố và kết nối khu dân cư; Ưu thế về view sông và đường hiện trạng; Chỉ tiêu quy hoạch về chức năng ở, diện tích thương phẩm; Hiện trạng dân cư bên trong phạm vi khu đất: tình trạng nhà, đấu thầu tại Đà Nẵng, Đà Nẵng",,,,,,,0,no_result
BDS-MASTER-0276,(pháp lý,"...) để chuẩn bị cho báo cáo do team đang tập trung làm phân tích nhanh ... by Unknown User, (pháp lý, đà nẵng",,,,,,,0,no_result
BDS-MASTER-0102,728 Cách Mạng Tháng 8 Tổng mức đầu tư (Chưa VAT),"và ranh: Bản đồ 3 tài sản tại TPHCM - Google My Maps Tổng quan về chỉ tiêu QH và phương án kinh doanh đề xuất: Giả định tính toán: + Nghĩa vụ tài chính về đất (như tiền thuê đất, tiền đất bổ sung) phòng tạm chưa đưa vào, 728 Cách Mạng Tháng 8 Tổng mức đầu tư (Chưa VAT), Quận 2, TPHCM",,,,,,,0,no_result
BDS-MASTER-0061,Cát Lái Sky Habitat H2-02,"KDC Cát Lái, Tp.Hồ Chí Minh Diện tích: 7,988.9 m2 Chủ Đầu tư: Công ty CP Phú Gia Thông số quy hoạch Lô H2-02 như sau: - Tầng cao: 25 - Hệ số: 5 - MĐXD: 40% - Dân số: 988 II. PA quy hoạch Căn cứ hồ sơ TKCS phát hành 05/20, Cát Lái Sky Habitat H2-02, Hồ Chí Minh",,,,,,,0,no_result
BDS-MASTER-0187,KĐT An Phú – PG (nguồn từ Ý-Pháp Chế) 1,"P.An Phú, Thuận An, Bình Dương (cách Phú Gia Khiêm 1km, cách Fenica 2.5 km) Quy mô: - 3 tháp cao tầng (30 tầng): 1874 căn hộ ở, 504 officetel, 17 shophouse - 55 căn nhà phố thấp tầng - Dân số 3.899. 2. Pháp lý: Đã có quy, KĐT An Phú – PG (nguồn từ Ý-Pháp Chế) 1, Bình Dương",,,,,,,0,no_result
BDS-MASTER-0072,Long Thuận Long Phước Quận 9 10ha,"dự án, thị trường chưa phổ biến loại hình này. P.ĐT tạm để trống phần diện tích đất DVCC cấp đô thị và không thực hiện tính toán phần đất này trong FS. Hiệu quả dự án như sau: Doanh thu chưa VAT: 5.899 tỷ đồng (Đơn giá b, Long Thuận Long Phước Quận 9 10ha, Quận 9, TP.HCM",,,,,,,0,no_result
BDS-MASTER-0062,Lô đất Phú Thọ Hòa Tân Phú,"và ranh dự án: Bản đồ không có tiêu đề - Google My Maps b. Sơ bộ hiện trạng pháp lý: Tổng diện tích khu đất theo Sổ cấp 2018 là 7.276,8 m2, trong đó có 6.824,3 m2 đất ở lâu dài, 452,5 m2 đất CLN thuộc Lộ giới đường Bưng, Lô đất Phú Thọ Hòa Tân Phú, TPHCM",,,,,,,0,no_result
BDS-MASTER-0351,Phú Quang khoảng 350m + Có 2 mặt tiếp xúc,"+ Khu đất có mặt tiền rộng khoảng 200m, tiếp giáp đường 4A đi ra hướng đường Ngô Chí Quốc và Quốc lộ 13 + Cách Dự án Phú Quang khoảng 350m + Có 2 mặt tiếp xúc, Phú Quang khoảng 350m + Có 2 mặt tiếp xúc, Thủ Đức, TPHCM",,,,,,,0,no_result
BDS-MASTER-0251,"SADACO - Phú Mỹ""","dự án SADACO: Tọa lạc mặt tiền đường Tô Nguyệt Đình, phường Mỹ Xuân, TP. Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu Dự án giáp ranh tỉnh Bà Rịa Vũng Tàu và tỉnh Đồng Nai Cách UBND TP. Phú Mỹ khoảng 12km Cách sân bay Quốc tế Long Thà, SADACO - Phú Mỹ"", Long Thành, Bà Rịa - Vũng Tàu và đánh giá dự án SADACO - Phú Mỹ"" như sau: 1/ Vị trí dự án SADACO: Tọa lạc mặt tiền đường Tô Nguyệt Đình",,,,,,,0,no_result
BDS-MASTER-0300,cao tầng với,"và hiện trạng: - Dự án cao tầng với, cao tầng với, Bình Dương",,,,,,,0,no_result
BDS-MASTER-0113,chung cư Hải Sơn có diện tích đất 8,"và ranh đất: https://www.google.com/maps/d/edit?mid=1pYF3M65dQngj9P_VP8SbXUKy92nYnFo&usp=sharing => Đánh giá sơ bộ hiện trạng: Đường kết nối vào khu đất từ đường Huỳnh Văn Nghệ có bề ngang nhỏ, chỉ khoảng 8.8 m, cần đánh, chung cư Hải Sơn có diện tích đất 8, Biên Hòa, Đồng Nai",,,,,,,0,no_result
