candidate_key,existing_project_id,project_name_candidate,mention_count,first_report_date,latest_report_date,map_urls,land_area_mentions,price_mentions,sample_excerpt
bale tại mũi né,,Bale tại Mũi Né,2,2023-05-15,2023-06-09,,"17,637 m2; 100m2","35.3tr/m2; 30tr/m2; 10,5 tỷ; 35tr/m2; 39tr/m2; 24,7tr/m2; 17,5tr/m2; 2.682 tỷ; 2.967 tỷ; 255 tỷ; 585 tỷ; 557 tỷ","Trieu Nguyen-PTDT 6/9/2023 5:47 PM Edited KĐT gửi anh Tuan Tran-CEO đánh giá lại dự án Bale tại Mũi Né, Phan Thiết, có giá chào bán được điều chỉnh giảm còn 2.000.000 đồng/m2 đất kèm theo cam kết chủ đầu tư hoàn thành việc cấp phép đóng tiền thuê đất 1 lần, hoàn thành đường kết nối và công tác đền bù, cụ thể: 1/ Vị trí: + Dự án nằm tại hẻm của đường Nguyễn Đình Chiểu (đường ven biển), không có mặt tiền biển hay mặt tiền đường ven biển, cách bãi biển khoảng 500m, có khu dân cư chắn ngang ở hướng ra biển 2/ Tham khảo đánh giá của Phòng Pháp lý a/ Pháp lý đất: Đất thương mại dịch vụ trả tiền thuê đất hàng năm đến năm 2059 b/ Pháp lý đầu tư: Dự án được phép bán – cho thuê công trình xây dựng trên đất, đối chiếu các quy định hiện hành liên quan thì Dự án đủ điều kiện để tách (các) Quyền sử dụng đất riêng rẽ theo QHCT 1/500 đã duyệt sau khi hoàn tất xây dựng công trình, cụ thể: + Mỗi lô đất sẽ cấp Giấy CNQSD đất với hình thức sử dụng là “Thuê đất trả tiền hàng năm”, thời hạn cấp lần đầu theo"
cao tầng việt an,,cao tầng Việt An,2,2023-05-27,2024-12-06,https://goo.gl/maps/xNEqZWHrXNzKYLHe6,"652,2m2; 86,7m2; 153,3m2; 2.000m2; 2000m2; 412,2m2; 5.869m2; 58.563m2; 53m2","200 tỷ; 20,7tr/m2; 917,5tỷ; 80,5 tỷ; 10tr/m2; 14,4tr/m2; 455,3 tỷ; 36,2tr/m2; 38,3tr/m2; 225,2 tỷ; 70,4 tỷ","Huy M - IM 12/6/2024 8:01 AM Translate K.ĐT báo cáo anh Tuan Tran-CEO về dự án cao tầng Việt An, Thuận Giao, Bình Dương như sau: 1/ THÔNG TIN DỰ ÁN: • Giá chào: 200 tỷ. • Diện tích đất: 9.652,2m2 ~ 20,7tr/m2. • Vị trí: Tiếp giáp đường D4 (vào bằng đường Thuận Giao 09), Thuận Giao, Thuận An, Bình Dương. • Link map: https://goo.gl/maps/xNEqZWHrXNzKYLHe6 • Hiện trạng: Đất trống + Nhà xưởng tạm. • Quy mô: Dự án cao tầng gồm 02 khối tháp, mỗi khối gồm 24 tầng + 2 hầm; HSSDĐ cả khu: 10,7 lần. 2/ PHÁP LÝ: a/ Pháp lý đất: • 03 GCNQSDĐ, trong đó: Đất ở tại đô thị: 86,7m2 – Lâu dài. Đất trồng cây hàng năm: 3.153,3m2 – 10/2063. Đất thương mại dịch vụ: 2.000m2 – 12/2020 (hiện đã hết thời hạn sử dụng đất). Đất cơ sở sản xuất phi nông nghiệp: 4.412,2 m23 – 01/2050. • Văn bản 143/CV-BPTN&TKQ ngày 27/04/2021 về việc xin gia hạn TMD: không đủ điều kiện gia hạn. • Văn bản 919/UBND-KT ngày 12/04/2023 về việc trả lời đơn xin gia hạn TMD: không đủ điều kiện gia hạn. • Phần Đất TMDV 2000m2 đã hết hạn sử dụn"
ở khu long phước,,ở khu Long Phước,2,2023-06-10,2023-06-10,https://goo.gl/maps/CJMhzfJXxVkLkHgVA,,,"Tuan Tran-CEO 6/10/2023 11:43 AM Kiếm các dự án ở khu Long Phước, Quận 9 1 Like reaction. Link https://goo.gl/maps/CJMhzfJXxVkLkHgVA by Unknown User"
khu đô thị mới hậu nghĩa đức hòa,,Khu Đô Thị Mới Hậu Nghĩa - Đức Hòa,2,2023-06-16,2023-06-17,https://goo.gl/maps/KCGefw7KgVDUzTPh7,"197,22ha; 11ha; 10ha; 37,6ha; 43,9ha; 15,9ha","162,877 tỷ; 3.095 tỷ; 1 tỷ","Thao L - INVT 6/17/2023 11:19 AM K.ĐT gửi anh Tuan Tran-CEO thông tin về dự án Khu Đô Thị Mới Hậu Nghĩa - Đức Hòa như sau: THÔNG TIN VỀ DỰ ÁN KHU ĐÔ THỊ MỚI HẬU NGHĨA – ĐỨC HÒA 1/ Vị trí: https://goo.gl/maps/KCGefw7KgVDUzTPh7 2/ Thông tin: - Năm 2018 VinGroup có văn bản Đề xuất lập quy hoạch đầu tư dự án Khu đô thị mới Hậu Nghĩa – Đức Hòa, vì thế hiện nay trên các trang thông tin (Guland, các báo điện tử,…) đều thể hiện VinGroup là CĐT của dự án này. - Tuy nhiên vào ngày 07/06/2023 Sở Kế Hoạch và Đầu Tư ban hành thông báo số 773/TB-SKHĐT về việc Thông báo mời quan tâm dự án đầu tư có sử dụng đất: Dự án Khu đô thị mới Hậu Nghĩa – Đức Hòa thông qua hình thức Đầu thầu dự án đầu tư có sử dụng đất và thời hạn nộp hồ sơ là ngày 10/07/2023. - Thông tin dự án: Tên dự án: Khu đô thị mới Hậu Nghĩa – Đức Hòa. Địa điểm: Thị trấn Hậu Nghĩa, xã Đức Lập Thượng, Xã Tân Mỹ, Huyện Đức Hòa, tỉnh Long An. Hình thức lựa chọn nhà đầu tư: Đấu thầu dự án đầu tư có sử dụng đất. Thời hạn nộp hồ sơ đấu thầu: 10/"
phân lô bán nền không xây nhà giá rẻ ở nhơn trạch,,phân lô bán nền (không xây nhà) giá rẻ ở Nhơn Trạch,2,2023-07-03,2023-07-03,,200m²; 194ha,,"Sinh Nguyen-Dau Tu 7/3/2023 3:17 PM K.ĐT (kết hợp P.R&D) gửi báo cáo anh Tuan Tran-CEO về khảo sát giá mặt tiền các trục đường chính - phía đông TP. Thủ Đức và các dự án phân lô bán nền (không xây nhà) giá rẻ ở Nhơn Trạch, T.Đồng Nai như sau: A/ Khảo sát giá mặt tiền các trục đường chính - phía đông TP. Thủ Đức (Quận 9): Nhận xét về thị trường: Đơn giá rao bán đất dựa trên cơ sở: Diện tích đất ưu tiên <200m² Giá giảm sâu khoảng 15-20% so với năm ngoái đối với những tài sản bị vướng trả lãi vay ngân hàng và chứng khoán. Đồng thời, tính thanh khoản thấp, ít tin rao Tỷ lệ chênh lệch ±10% trên giá niêm yết phụ thuộc vào: Chủ đất có bán gấp hay không, gần các tiện ích,… Hiện Cầu Long Đại đã có những bước thi công trở lại, đặc biệt là đã nối 2 đầu cầu giữa địa phận phường Long Phước và Vinhomes Grand Park Dự án đường Vành đai 3 TP.HCM vừa được chính thức khởi công có đoạn đi qua địa bàn quận 9 (cũ) nay là TP. Thủ Đức. Những tuyến đường chính hiện hữu (đường nhỏ, 2 làn xe ngược chiều) được hư"
gồm chung cư cao tầng gồm 02 hầm 02 tầng khối đế 26 tầng căn hộ trong đó căn hộ noxh chiếm 20,,gồm Chung cư cao tầng gồm 02 Hầm + 02 tầng Khối đế + 26 tầng căn hộ (trong đó căn hộ NOXH chiếm 20% ,2,2023-08-03,2023-08-03,,"5.162m2; 75.540m2; 15,110m2; 52m2; 60,430m2; 58m2; 12,856m2; 629,71m2; 11.805m2; 94m2; 9.447m2; 2.362m2","153,7 tỷ; 12tr/m2; 33 tỷ; 14,27tr/m2; 731,9 tỷ; 43tr/m2; 53tr/m2; 34tr/m2; 23,4tr/m2; 466,6 tỷ; 130 tỷ; 16,55tr/m2; 107,5 tỷ; 11,4tr/m2; 22 tỷ; 5,95tr/m2; 7,1tr/m2; 085,8tỷ; 73tr/m2; 85tr/m2; 8,7tr/m2; 168,2 tỷ; 51,6 tỷ; 11,2tr/m2","Thao L - INVT 3/23 11:46 AM Translate 2. PHƯƠNG ÁN PHÁT TRIỂN ĐỀ XUẤT: 2.1. Phương án Cao tầng: Sử dụng hiệu quả nhất các chỉ tiêu quy hoạch và xin thêm 2.522 dân. a. Quy mô: Dự án gồm Chung cư cao tầng gồm 02 Hầm + 02 tầng Khối đế + 26 tầng căn hộ (trong đó căn hộ NOXH chiếm 20% tổng số căn hộ); Trường mầm non và Y tế. b. Loại hình kinh doanh: 02 tầng khối đế cho thuê sàn trung tâm thương mại: 5.162m2 sàn thương phẩm (tỷ lệ thương phẩm trung bình 57%). 26 tầng tháp bán căn hộ: 75.540m2 sàn thương phẩm (tỷ lệ thương phẩm trung bình 73%): .Căn hộ NOXH: 15,110m2 sàn ~ 291 căn, diện tích trung bình 52m2/căn. .Căn hộ thương mại: 60,430m2 sàn 1.040 căn, diện tích trung bình 58m2/căn. Số căn hộ: 1.331 căn. Dân số sử dụng: 3.022 người, dân số theo quy hoạch: 500 người => Dân số cần xin thêm: 2.522 người. c. Thời gian triển khai: Đến cuối 2025: Đền bù giải phóng mặt bằng, Chuyển mục đích SDĐ và hoàn thành pháp lý dự án. 2026 - cuối 2028: Xây dựng và bán hàng theo tiến độ căn hộ thương phẩm. Cu"
có vị trí tại phường an bình,,có vị trí tại phường An Bình,2,2023-09-07,2023-09-07,,"834,2 m2; 410.000 m2",,"Tuan Tran-CEO 9/7/2023 5:04 PM Dự án có vị trí tại phường An Bình, TP Dĩ An, quy mô đầu tư dự kiến là 86.834,2 m2 với tổng diện tích sàn xây dựng 410.000 m2, bao gồm 11 tòa cao tối đa 30 tầng. Tổng sản phẩm mà dự án này cung cấp dự kiến 3.400 căn hộ. Dxg mới mua xong. Chỗ này hồi đó mình có tí... by Unknown User"
phú quang khoảng 350m có 2 mặt tiếp xúc kênh rạch ii kết nối giao thông đến dự án,,Phú Quang khoảng 350m + Có 2 mặt tiếp xúc kênh rạch II/ Kết nối giao thông đến dự án,2,2023-11-27,2023-11-27,,"12,3ha; 7,68ha; 0,67 ha; 3,95ha; 11,63ha",,"Trieu Nguyen-PTDT 11/27/2023 3:01 PM Edited KĐT gửi anh Tuan Tran-CEO báo cáo Thu gom quỹ đất thuộc phường Bình Chiểu, Thủ Đức, TPHCM: I/ Vị trí: + Khu đất có mặt tiền rộng khoảng 200m, tiếp giáp đường 4A đi ra hướng đường Ngô Chí Quốc và Quốc lộ 13 + Cách Dự án Phú Quang khoảng 350m + Có 2 mặt tiếp xúc kênh rạch II/ Kết nối giao thông đến dự án: Khu đất tiếp giáp đường 4A (đoạn đã mở rộng lộ giới khoảng 23m). Tuy nhiên, các tuyến đường chính kết nối đến khu đất vẫn chưa hoàn thành mở rộng hoặc dự phóng theo Quy hoạch, cụ thể: + Tại phía Đông của khu đất: Chưa đấu nối Đoạn đường 4A ra đường Ngô Chí Quốc + Tại phía Tây của khu đất: Các tuyến đường LKV9 và đường Vĩnh Phú 32 vẫn chưa hoàn thành để đấu nối ra Quốc lộ 13 + Và một số tuyến đường nhỏ khác chưa được thực hiện III/ Quy mô, Quy hoạch và Hiện trạng: 1/ Tổng quy mô ước tính : khoảng 12,3ha (theo ranh Phòng PTQĐ cung cấp) 2/ Quy hoạch 1/2000: Quy hoạch chủ yếu là đất ở, bao gồm các ô quy hoạch: + Trọn các ô quy hoạch từ số 13 -> 18"
urban green,,Urban Green,2,2023-12-18,2023-12-18,https://maps.app.goo.gl/ioqJ9N2mKRyMdiAe6,"5,1ha; 4,9ha; 0,2ha; 218,27m²; 783,23m²; 000,8m²; 19.803m²; 5.1ha",,"P.ĐT gửi lại sếp Admin 01 báo cáo dự án 5,1ha Kinh Đô, mặt tiền Đường số 4, phường Hiệp Bình Phước, TP. Thủ Đức, TP. Hồ Chí Minh - Báo cáo vào ngày 18/12/2023 1/ Vị trí Tiếp giáp 2 mặt tiền Đường số 4, đường trải nhựa rộng khoảng 6-7m, quy hoạch lộ giới dự kiến 20m, cách trục đường Quốc lộ 13 khoảng 230m, cách khu đô thị Vạn Phúc khoảng 800m Cách sân bay Quốc tế Tân Sơn Nhất khoảng 8,2km Cách Chợ Bến Thành khoảng 9,6km 2/ Hiện trạng: Đất trống + nhà xưởng (hình ảnh vệ tinh) 3/ Pháp lý đất: - Tổng diện tích đất Công ty Kinh Đô sử dụng: 5,1ha. Chưa có đất ở + Có 4,9ha đã được cấp sổ: * Loại đất: Đất sản xuất; * Hình thức sử dụng đất: Giao đất có thu tiền sử dung đất; * Thời hạn sử dụng đất: Ổn định lâu dài (Căn cứ QĐ 2232/QĐ-UB ngày 16/6/2003 của UBND Thành phố, Sở Tài nguyên và Môi trường cập nhật) Cập nhật biến động trên GCN ngày 10/10/2006. + Chênh lệch phần diện tích 0,2ha, UBND phường Hiệp Bình Phước có ý kiến như sau: * Phần mương thoát nước, có diện tích 218,27m² do UBND Phường qu"
văn phòng tại khu đất 72 74 võ thị sáu,,Văn phòng tại khu đất 72-74 Võ Thị Sáu,2,2024-01-03,2024-01-03,https://maps.app.goo.gl/VRterbzJvDcxUkVJ6,2157.7m2; 2157.7 m2,"1350 tỷ; 625.6tr/m2; 16,78tr/m2; 334tỷ; 938tỷ","Thao L - INVT 1/3/2024 9:11 AM K.ĐT báo cáo anh Tuan Tran-CEO dự án Văn phòng tại khu đất 72-74 Võ Thị Sáu, phường Tân Định, Quận 1. Khu đất nằm trên đường Võ Thị Sáu, phía tay mặt, đối diện Công viên Lê Văn Tám có tổng diện tích 2157.7m2 với giá chào bán là 1350 tỷ, tương đương 625.6tr/m2 như sau: Pháp lý đất: GCNQSDĐ với tổng diện tích là 2157.7 m2. Mục đích sử dụng: Đất ở tại đô thị. Thời hạn: Lâu dài. Pháp lý đầu tư: chưa có. Pháp lý quy hoạch: - Theo văn bản 4793/QD-UBND của UBND Thành phố Hồ Chí Minh cấp ngày 08/09/2017 Về Đồ án quy hoạch phân khu tỷ lệ 1/2000 Khu dân cư Phường Tân Định, Quận 1 (nội dung quy hoạch sử dụng đất, kiến trúc, giao thông). - Quy hoạch: Đất ở hỗn hợp - Nằm trong danh sách Dự án kêu gọi đầu tư, “Cao ốc VP, TM, Căn hộ (72-74 Võ Thị Sáu)” theo Văn bản số 3592/SQHKT-QHKTT cấp ngày 17/12/2010. Pháp lý xây dựng: Giấy phép xây dựng số 54/GPXD được cấp ngày 24/08/2023: Được phép xây dựng công trình văn phòng cao 22 tầng + 3 hầm + mái che thang với MĐXD: 47.6% v"
khu công nghiệp và khu phi thuế quan xuân cầu tại khu cảng cửa ngõ quốc tế lạch huyện,,Khu Công Nghiệp Và Khu Phi Thuế Quan Xuân Cầu tại Khu Cảng Cửa Ngõ Quốc Tế Lạch Huyện,2,2024-01-09,2024-01-09,https://maps.app.goo.gl/uLPtqwAnwnevw4zz7,752Ha; 369Ha; 173Ha,,"Thao L - INVT 1/9/2024 5:12 PM K.ĐT báo cáo anh Tuan Tran-CEO về dự án Khu Công Nghiệp Và Khu Phi Thuế Quan Xuân Cầu tại Khu Cảng Cửa Ngõ Quốc Tế Lạch Huyện, Khu Kinh Tế Đình Vũ – Cát Hải, Thành Phố Hải Phòng như sau: I. HIỆN TRẠNG DỰ ÁN 1. Vị trí: Thuộc khu vực cảng cửa ngõ quốc tế Lạch Huyện, Khu kinh tế Đình Vũ - Cát Hải, Thành phố Hải Phòng. Đối diện cảng số 1 đến số 12 thuộc Zone 4 Cảng nước sâu Quốc tế Lạch Huyện. 2. Quy mô và tính chất: Dự án có diện tích 752Ha thuộc Khu Phi thuế quan, trong đó: 369Ha khu sản xuất công nghiệp và 173Ha khu dịch vụ kho bãi – logistics. 3. Thời gian vận hành: 2021-2071: Còn 47 năm. 4. Hiện trạng: đã được san lấp khoảng 3% trên tổng diện tích dự án, chạy dọc song song với bến cảng số 1,2 (cảng 1, 2 đã đưa vào hoạt động) và cảng 3, 4, 5, 6 đang được xây dựng. 5. Pháp lý (theo như hồ sơ đối tác trình bày): Đã có Quyết định Chủ trương đầu tư; Giấy chứng nhận đăng ký đầu tư; Quy hoạch chi tiết 1/500; Bàn giao mặt biển; Bàn giao đất và Giấy phép xây dựng"
cảng tổng hợp và container cái mép hạ được đề xuất đầu tư,,cảng tổng hợp và container Cái Mép Hạ được đề xuất đầu tư,2,2024-06-03,2024-06-03,,351 ha,50.820 tỷ,"Huy M - IM 6/3/2024 9:16 AM https://vnexpress.net/de-xuat-dau-tu-sieu-cang-cai-mep-ha-don-tau-bien-lon-nhat-the-gioi-4753385.html Đề xuất đầu tư 'siêu cảng' Cái Mép Hạ đón tàu biển lớn nhất thế giới Bà Rịa - Vũng Tàu- Dự án cảng tổng hợp và container Cái Mép Hạ được đề xuất đầu tư với tổng vốn 50.820 tỷ đồng, quy mô 351 ha, có thể đón các tàu biển lớn nhất thế giới. vnexpress.net"
chung cư hòa xuân,,chung cư Hòa Xuân,2,2024-09-27,2024-09-27,https://maps.app.goo.gl/XwfK6AzNVqs5eFX17; https://maps.app.goo.gl/QAU1JqmdETLn951C,3.508m2; 3.140m2,"300 tỷ; 45,1tr/m2; 40 tr/m2; 12,07tr/m2; 40,3tr/m2; 32,2 tr/m2; 22,5tr/m2; 6,7tr/m2; 29,2tr/m2; 32,2tr/m2","Thao L - INVT 9/27/2024 11:17 AM Translate K.ĐT báo cáo anh Mr Mike1 -CEO về Dự án chung cư Hòa Xuân, Cẩm Lệ, Đà Nẵng: lô A2-3 và A2-4 như sau: 1. Thông tin, vị trí và hiện trạng: - Dự án cao tầng: lô A2-3 và A2-4 có diện tích đất lần lượt là: 3.508m2 và 3.140m2 - Giá chuyển nhượng: 300 tỷ tương đương 45,1tr/m2 - Dự án Hòa Xuân tiếp giáp 4 mặt tiền đường, ngay tại giao lộ Võ Chí Công 29 Tháng 3 thuận tiện cho giao thông với 6 làn xe mỗi đường. Khu vực xung quanh chủ yếu là nhà phố, không có công trình cao tầng. - Cách sân bay 3km và cách biển 8km 2. Hạn chế của Dự án: - Khu vực tương đối xa trung tâm thiếu các tiện ích như gần bãi biển hoặc sông Hàn, siêu thị và nhà hàng ăn uống, khiến cho môi trường sống kém hấp dẫn đối với cư dân dẫn đến khó khăn trong việc thu hút cư dân và nhà đầu tư. - Nếu phát triển chung cư tại đây, đơn giá sẽ thấp hơn so với các dự án cạnh tranh do vị trí và môi trường xung quanh không hấp dẫn không gần các khu làm việc như FPT hoặc các quận trung tâm Đà Nẵng. "
bán q4 2026,,bán Q4/2026,2,2024-10-03,2024-11-26,https://maps.app.goo.gl/b6AweqeJiHMGShsq9,"2,3ha; 115ha; 85ha; 2.3 ha",170 tỷ; 300 tỷ,"Sinh Nguyen-Dau Tu 11/26/2024 4:13 PM Edited Translate K.ĐT gửi lại anh Mr Mike1 -CEO về báo cáo cập nhật hiệu quả tài chính dự án 2,3ha Bình Điền, tọa lạc mặt tiền đường Nguyễn Văn Linh, xã An Phú Tây, huyện Bình Chánh, TP.HCM. 1/ Về vị trí: Cách Chợ Đầu Mối Bình Điền khoảng 400m, cách ranh Quận 8 và huyện Bình Chánh khoảng 150m, cách UBND huyện Bình Chánh khoảng 3,2km, cách nút giao Vành Đai 2 - Nguyễn Văn Linh khoảng 2,2km Về quy hoạch dự kiến: Cách bến xe miền Tây mới khoảng 1,5km; Nằm giữa trung tâm lưu thông hàng hóa I (khu E -115ha) và trung tâm lưu thông hàng hóa II (khu D - 85ha) thuộc khu đô thị Phú Mỹ Hưng; Cách các nhà ga thuộc tuyến Metro line 7 trong bán kính 500m 2/ Về chi phí Đất: Giá mua 170 tỷ (cập nhật giá mua mới từ anh Tâm – Phó Chủ Tịch) Đóng tiền sử dụng đất khoảng 300 tỷ (Tính toán lại tiền sử dụng đất theo văn bản hướng dẫn mới) 3/ Về thị trường (giá bán đã bao gồm VAT) Giá bán đất biệt thự đề xuất năm 2024: 80tr/m². Dự án bán Q4/2026, giá bán 88tr/m² đất, thời"
hoàng cát center có quy mô 7,,Hoàng Cát Center có quy mô 7,2,2024-10-14,2024-10-14,https://maps.app.goo.gl/s62kTxdTsTQvQHDJ9,"7,5ha; 7.5ha; 7.5 ha; 300m2; 3.6ha",11.1TR/M2; 408.8 tỷ; 130 tỷ; 120 tỷ; 124 tỷ; 1.5tr/m2; 14 tỷ; 6tr/m2; 41.9 tỷ; 419.2 tỷ; 50.7 tỷ,"Thao L - INVT 10/14/2024 12:05 PM K.ĐT báo cáo anh Mr Mike1 -CEO về dự án Hoàng Cát Center có quy mô 7,5ha, nằm trên QL 13, Lai Uyên… Check lại giá xem sao ở đây mà còn rẻ hơn Khu Cát Tường ngay Trung Tâm Chơn Thành nữa."
phú đông premier gần ph đang bán giá 37 39,,Phú Đông premier gần PH đang bán giá 37 39,2,2024-12-12,2024-12-12,,,9.5 tr/m2; 11 tr/m2,"Huy M - IM 12/12/2024 8:47 AM Về phần xây dựng thì dự án Phú Đông premier gần PH đang bán giá 37 39, A Sơn trợ lý trướ… Ok Huy nhé, áp giá 12.05 cũng ổn vì đã có dự phòng phí 5%. OK Anh nhé. by Huy M - IM"
quy mô trên 1000 ha trước khi nova bị mất thanh khoản định xúc tiến ở bà rịa,,quy mô trên 1000 ha trước khi Nova bị mất thanh khoản định xúc tiến ở Bà Rịa,2,2024-12-16,2024-12-16,,1000 ha,,"Huy M - IM 12/16/2024 8:56 PM Translate Các dự án quy mô trên 1000 ha trước khi Nova bị mất thanh khoản định xúc tiến ở Bà Rịa, Phú Yên, Bình Định đều phải đấu thầu Begin quote, Huy Mai-PTDT , 12/16/2024 8:56... by Unknown User"
50ha ở vĩnh yên,,50ha ở Vĩnh Yên,2,2024-12-16,2024-12-16,,50ha,,"Thoi L - ASST. 12/16/2024 5:17 PM Translate ""UBND tỉnh Vĩnh Phúc và Tập đoàn Vingroup sẽ ký kết hợp tác toàn diện Xúc tiến, thu hút đầu tư, liên kết hợp tác hỗ trợ doanh nghiệp, thúc đẩy chuyển đổi xanh, phát triển bền vững. Ngày 23/11/2024, UBND tỉnh Vĩnh Phúc sẽ phối hợp với Tập đoàn Vingroup tổ chức Hội nghị “Chuyển đổi xanh - nhận thức và hành động vì một tương lai Vĩnh Phúc phát triển bền vững” --> Để phát triển đại DA về BĐS nhà ở và KCN, các đơn vị lớn thường có 1 bộ phận: Xúc tiến hợp tác đầu tư. Anh gửi lại Mr Mike dự án 50ha ở Vĩnh Yên, ... by Huy M - IM"
phú quang phương án bổ sung tiền sử dụng đất lurf và chi phí liên quan đến phần đất công trong d,,Phú Quang – Phương án bổ sung tiền sử dụng đất (LURF) và chi phí liên quan đến phần đất công trong d,2,2025-03-12,2025-03-12,,12.6ha; 19ha; 4.9ha,"2.417 tỷ; 10tr/m2; 489,6 tỷ; 25.783 tỷ; 20.627 tỷ; 7.070 tỷ","Khoa L - INVT 3/12/2025 2:56 PM Translate K.ĐT gửi anh Mr Mike1 -CEO về hiệu quả dự án Phú Quang – Phương án bổ sung tiền sử dụng đất (LURF) và chi phí liên quan đến phần đất công trong dự án: Trước hết, Phòng Đầu tư tổng hợp và báo cáo nghĩa vụ các bên trong cấu trúc deal như sau: Bên Bán Bên mua Diện tích giao đất đợt 1 (12.6ha) đã giao cho Phú Quang theo QĐ 2987 (07/10/2020) - Chi phí và công tác đền bù/ GPMB - Tiền chuyển mục đích sử dụng đất theo QĐ 2987 (07/10/2020) - Chi phí bồi thường phần đất công năm trong 12.6ha Diện tích giao đất còn lại (~ 19ha) - Chi phí và công tác GPMB - Tiền chuyển mục đích sử dụng đất - Chi phí bồi thường phần đất công trong diện tích giao đất còn lại Như vậy phạm vi Bên mua sẽ chịu trách nhiệm: - Đóng LURF cho phần diện tích giao còn lại, - Đóng LURF bổ sung cho phần giao đất đợt 1 (12.6ha) khi điều chỉnh quy hoạch - Các chi phí liên quan đến phần đất công trong diện tích giao đất còn lại 1. Tính toán LURF P. Đầu tư thực hiện tính toán tiền sử dụng đ"
thấp tầng sadaco phú mỹ,,thấp tầng SADACO – Phú Mỹ,2,2025-04-08,2025-04-08,https://maps.app.goo.gl/efNjqXtJS5uqAid67,"16,8ha; 20,5ha; 19,3ha; 600m²; 110m²; 185m²; 900m²; 270m²; 1,2ha",153 tỷ; 704 tỷ; 3.831 tỷ; 4.382 tỷ; 850 tỷ; 416 tỷ; 155 tỷ; 134 tỷ; 587 tỷ,"Unknown User 4/8/2025 7:33 PM P. ĐT báo cáo anh Mr Mike1 -CEO về dự án thấp tầng SADACO – Phú Mỹ, Thành phố Phú Mỹ, tỉ… Mấy cái xa xôi này phải lãi cao mới làm nổi, lãi mỏng dưới 20% là thua. Vì phải có sóng mới bán đc hàng Link https://vt.tiktok.com/ZSrfafnH6/ by Unknown User"
cù lao tân vạn centria island nguồn,,Cù Lao Tân Vạn – Centria Island (nguồn,2,2025-04-11,2025-04-21,,48ha; 10ha,122tr/m2; 275tr/m2; 55tr/m2,Thao L - INVT 4/21/2025 4:35 PM Translate K.ĐT báo cáo anh Mr Mike1 -CEO về cập nhật dự án Cù Lao Tân Vạn – Centria Island (nguồn: Mr. Duy) như sau: I. CƠ SỞ GIÁ* * Đơn giá đất chưa VAT và không bao gồm xây dựng 1. Cơ sở các yếu tố so sánh giá giữa 02 dự án - Yếu tố vị trí dự án - Cơ sở giá Vạn Phúc lấy theo các phân khu với vị trí giáp/gần bờ sông tương đồng với Cù lao Tân Vạn - Yếu tố diện tích 2. Bảng so sánh đơn giá theo từng phân khu bao gồm điều chỉnh yếu tốc vị trí dự án và diện tích - TỶ LỆ ĐƠN GIÁ TRUNG BÌNH GIỮA DỰ ÁN CÙ LAO TÂN VẠN VÀ KHU ĐÔ THỊ VẠN PHÚC: 44% II. GIÁ THỊ TRƯỜNG KĐT VẠN PHÚC LẤY LÀM CƠ SỞ III. BẢNG GIÁ CHI TIẾT CÙ LAO TÂN VẠN DỰA VÀO CƠ SỞ TÁCH PHÂN KHU THEO VỊ TRÍ BỜ SÔNG TƯƠNG ỨNG VỚI KĐT VẠN PHÚC IV. CẬP NHẬT HIỆU QUẢ DỰ ÁN 1. Doanh thu - TỶ LỆ ĐƠN GIÁ TRUNG BÌNH GIỮA DỰ ÁN CÙ LAO TÂN VẠN VÀ KHU ĐÔ THỊ VẠN PHÚC: 44% 2. Hiệu quả tài chính 3. Độ nhạy - Đối với Đơn giá Cù Lao Tân Vạn bằng 44% ~ 122tr/m2 đất so với Đơn giá trung bình (tương ứng vị trí) KĐT Vạn
cù lao tân vạn,,Cù lao Tân Vạn,2,2025-05-06,2025-05-22,,9.8ha; 0.8ha,"1.092 tỷ; 1.441 tỷ; 3.123 tỷ; 2.478 tỷ; 12,809 tỷ; 10,420 tỷ; 2,987 tỷ; 100tr/m2; 90tr/m2; 85tr/m2; 95tr/m2","Huy M - IM 5/22/2025 6:29 PM Translate K.ĐT báo cáo CEO Mr Mike1 -CEO về Cập nhật Dự án Cù lao Tân Vạn với 02 nội dung như sau: 1. Phương án Vay và cấu trúc Deal 2. Cập nhật lại hiệu quả FS Nội dung chi tiết như sau: 1. Phương án Vay và cấu trúc Deal: * Về đề bài Tập đoàn có 40% cash và làm việc với TTC để lên phương án vay tương ứng cùng cấu trúc Deal. Sau khi trao đổi và làm việc thì TTC đề xuất phương án vay và cấu trúc Deal như sau: a. Đối với phương án vay: - Phần mua 72 căn: Thanh toán 95% bằng cash (~1.092 tỷ) - Phần mua 219 nền: Thanh toán 30% cọc bằng cash (~1.441 tỷ) và vay 65% còn lại (3.123 tỷ) – giải ngân theo tiến độ => Như trên tổng số tiền tươi Tập đoàn chi ra là ~ 2.478 tỷ (42%) b. Hình thức vay: - Mục đích vay: Cty bên Mua Ký hợp đồng nguyên tắc nhận chuyển nhượng nhà của 72 căn nhà đất và 219 nền đất . - Chứng minh khả năng trả nợ, lãi: Công ty bên Mua có dòng tiền, chứng minh dòng tiền trả nợ chủ yếu từ phương án kinh doanh tại chính dự án TV (mua sỉ & bán lẻ). - Tà"
