curated_id,project_name,labeled_items,unclassified_items
BDS-CURATED-0116,cơ bản đạt hiệu quả tài chính,2,0
BDS-CURATED-0110,Thuận Nghiệp ở Dĩ An,0,1
BDS-CURATED-0004,Trần Đức 1 2.8ha Thuận Giao,11,19
BDS-CURATED-0062,chung cư cao cấp THAT 1,1,5
BDS-CURATED-0092,không đạt hiệu quả tài chính,8,2
BDS-CURATED-0266,Đà Nẵng thì liên hệ A Tịnh,0,0
BDS-CURATED-0343,Hoàng Cát Center có quy mô 7,0,11
BDS-CURATED-0081,KHU ĐÔ THỊ MỚI G1,0,1
BDS-CURATED-0347,chung cư Hòa Xuân,1,10
BDS-CURATED-0334,chung cư Hải Sơn có diện tích đất 8,1,3
BDS-CURATED-0043,Khu đất mặt tiền Ngô Chí Quốc gần Phú Quang,11,18
BDS-CURATED-0137,này --- [] Monday,0,0
BDS-CURATED-0212,này hiện chỉ đóng tiền sử dụng đát trên diện tích đất xây dựng thay vì diện tích đất toàn khu đối với toàn khu,0,0
BDS-CURATED-0225,đấu thầu,2,4
BDS-CURATED-0064,khu dân cư cao tầng Ngọc Hồi với tổng diện tích đất thực hiện dự án là 24,2,8
BDS-CURATED-0093,không đạt hiệu quả tài chính với giá chào chuyển nhượng là 280 tỷ đồng (chưa bao gồm tiền CMĐSDĐ) - Để dự án đ,6,5
BDS-CURATED-0176,này nhé,0,0
BDS-CURATED-0162,Cù lao Tân Vạn với 02 nội dung,0,8
BDS-CURATED-0131,Swan Park và Swan Bay,1,0
BDS-CURATED-0236,THTT,0,0
BDS-CURATED-0340,Văn phòng – An Phú,5,1
BDS-CURATED-0153,căn hộ Đức Long Western Park Dự án Đức Long Western Park tại quận Bình Tân,0,0
BDS-CURATED-0209,là 300 tỷ - Độ nhạy Lợi nhuận trước thuế / Tổng mức đầu tư của dự án với 2 biến số,1,1
BDS-CURATED-0211,nhà ở thương mại thông qua thỏa thuận về nhận quyền sử dụng đất hoặc đang có quyền sử dụng đất để thể chế hóa,0,0
BDS-CURATED-0327,Bale tại Mũi Né,5,12
BDS-CURATED-0188,Hoà Xuân 15h by Unknown User,0,0
BDS-CURATED-0339,Richland,6,14
BDS-CURATED-0200,Cảng tổng hợp và container Cái Mép Hạ,0,3
BDS-CURATED-0258,quy mô trên 1000 ha trước khi Nova bị mất thanh khoản định xúc tiến ở Bà Rịa,0,0
BDS-CURATED-0298,trong kế hoạch đấu giá năm 2026 trên địa bàn tỉnh Đồng Nai,0,0
BDS-CURATED-0145,High và West của LDG (nguồn từ anh Dũng),0,10
BDS-CURATED-0155,"KCN Liễu Sơn – Thái Hòa 1, Vĩnh Phúc",0,0
BDS-CURATED-0257,"Khu đất Phú Thọ Hòa, Tân Phú",0,0
BDS-CURATED-0156,"Khu đất 10.052,1 m² tại 1691/3N",0,0
BDS-CURATED-0337,Felicia,3,8
BDS-CURATED-0361,Khu Công Nghiệp Và Khu Phi Thuế Quan Xuân Cầu tại Khu Cảng Cửa Ngõ Quốc Tế Lạch Huyện,0,1
BDS-CURATED-0192,Phú Gia Khiêm về việc điều chỉnh chỉ tiêu dân số,0,0
BDS-CURATED-0321,~38ha,7,19
BDS-CURATED-0143,đạt hiệu quả LNTT/TMĐT ~ >=20% ở khung từ giá bán bình quân chưa VAT đạt từ 75 triệu/m2 trở lên chi phí đầu tư,8,5
BDS-CURATED-0144,đạt tỷ lệ LNTT/TMĐT 15% ~ 290 tỷ đồng ~ đơn giá 137,11,3
BDS-CURATED-0071,(FS),2,21
BDS-CURATED-0326,(GỒM VAT) – 4,8,35
BDS-CURATED-0049,54ha liền kề sân bay Phan Thiết có giá chào 860-900 tỷ,4,1
BDS-CURATED-0102,Hải Âu tại Bãi Trường,2,1
BDS-CURATED-0319,chung cư Hòa Xuân (A2-3 & A2-4) 1,8,8
BDS-CURATED-0154,"Dự án 1,2 ha đường Thuận An Hòa, An Phú",0,0
BDS-CURATED-0117,"Quỹ đất Tân Hiệp, Long Thành, Đồng Nai",0,0
BDS-CURATED-0216,phân lô bán nền (không xây nhà) giá rẻ ở Nhơn Trạch,2,0
BDS-CURATED-0122,tuy có bãi biển đẹp,0,0
BDS-CURATED-0359,Đặng Văn Bi + Vị trí,1,7
BDS-CURATED-0073,AK (2025)~ 4,5,9
BDS-CURATED-0160,Asia Phú Mỹ – Bình Chánh (dự án do anh Hiếu-GĐPL giới thiệu) 1,0,0
BDS-CURATED-0086,Urban Green,0,0
BDS-CURATED-0210,mình khảo sát ở kcn Vĩnh Phúc khi bay flycam thì thấy hiện trạng là đất lúa xen kẽ nhiều nhà dân và có các đồi,0,0
BDS-CURATED-0214,này image by Huy M - IM,0,0
BDS-CURATED-0252,này sao tiền sử dụng đất cao vậy Dự án được tính tiền sử dụng đất theo phươn,0,0
BDS-CURATED-0267,đang ở giai đoạn đ,2,1
BDS-CURATED-0268,đang ở giai đoạn đóng tiền sử dụng đất,0,0
BDS-CURATED-0182,(1) chưa có chủ trương đầu tư (Điểm cộng để xin thí điểm) + (2) dự án chưa đăng ký ngay đợt đầu như PGK nên sợ,0,0
BDS-CURATED-0185,Anantara tham chiếu theo Phú Hải,1,8
BDS-CURATED-0323,Hội An Riverside Resort & Spa,15,22
BDS-CURATED-0354,KĐT An Phú – PG (nguồn từ Ý-Pháp Chế) 1,2,1
BDS-CURATED-0088,cao tầng tại Trung tâm Quận 9 (TPHCM) với quy mô 3,1,5
BDS-CURATED-0330,gồm,11,11
BDS-CURATED-0218,rà soát và làm rõ các điểm pháp lý sau,0,0
BDS-CURATED-0272,ở khu Long Phước,0,0
BDS-CURATED-0158,1 - Lợi nhuận trước thuế/TMĐT 22,2,12
BDS-CURATED-0332,168ha gần Khu Đa,2,3
BDS-CURATED-0077,Hoa viên Vĩnh Thanh sau khi có Thông số từ P,6,7
BDS-CURATED-0335,khá cao cấp),3,9
BDS-CURATED-0254,này với các điều kiện sau,0,0
BDS-CURATED-0177,phân lô bán nền 4,0,0
BDS-CURATED-0309,thành phần lô A2-3 Hòa Xuân,0,0
BDS-CURATED-0220,triển khai chi tiết,0,0
BDS-CURATED-0226,đối diện hiện tại là giá chào của khách lẻ,1,0
BDS-CURATED-0229,ANANTARA THAM CHIẾU THEO DỰ ÁN PHÚ HẢI Bảng so sánh,0,0
BDS-CURATED-0076,Giá bán đề xuất,2,4
BDS-CURATED-0232,IDEO cách trung tâm Bangk,0,0
BDS-CURATED-0189,IDEO cách trung tâm Bangkok khoảng 6-7Km và gần sông Chao Phraya,0,0
BDS-CURATED-0084,"Khách sạn 5 sao 12 Hùng Vương, Đà Lạt",0,0
BDS-CURATED-0305,Minh Ngọc,0,0
BDS-CURATED-0234,Phú Quang khoảng 350m + Có 2 mặt tiếp xúc,0,0
BDS-CURATED-0195,The Sang Residence,0,1
BDS-CURATED-0287,cùng phân khúc rẻ nhất Q9 Kiếm các dự án ở khu Long Phước,0,0
BDS-CURATED-0202,của mình nằm sát Khu CBD mới của Đà Nẵng và lợi thế nằm ngay đường Phạm Văn Đồng (có 4 mặt tiền,0,0
BDS-CURATED-0246,khu đô thị dọc theo Me,0,0
BDS-CURATED-0172,làm KCN tại huyện Nghĩa Hưng Khảo sát vị trí hiện trạng,0,0
BDS-CURATED-0174,này hiện đã thực hiện pháp lý đến giai đoạn cấp sổ đỏ riêng cho từng lô biệt thự Nhưng hiện tại,0,0
BDS-CURATED-0227,ạ! Về phần diện tích đất cũng same same với nh,0,0
BDS-CURATED-0336,(VAT),11,16
BDS-CURATED-0363,43ha - Dự án Tân phú,3,4
BDS-CURATED-0150,Richland Quận 9,0,0
BDS-CURATED-0194,SwanBay 456 ha,0,0
BDS-CURATED-0348,du lịch tại Mũi Né,3,6
BDS-CURATED-0370,khác đang triển khai như Stown,1,9
BDS-CURATED-0173,mình lên gia tăng hiệu quả đầu tư vì không tốn thêm bộ máy vận hành,0,0
BDS-CURATED-0253,này thì phải Các dự án quy mô trên 1000 ha trước khi Nov,0,0
BDS-CURATED-0255,nêu trên (QĐ 789 cho khu đất 2,0,0
BDS-CURATED-0320,thay đổi khi thay đổi giá mua dự án và giá bán căn hộ,8,11
BDS-CURATED-0344,KCN Phước An tại xã Phước An,0,0
BDS-CURATED-0409,NOXH Đồng Nai (2 dự án trung tâm Biên Hòa)1,1,3
BDS-CURATED-0242,của Nova đang khởi công trở lại nhưng vẫn chưa bán hàng ah,0,0
BDS-CURATED-0205,khi thực hiện kcn phải san lấp thêm ở mức bao nhiêu nên cũng chưa ước tính chi phí san lấp cho dự án này,0,1
BDS-CURATED-0208,không khả thi với bất kỳ giá mua nào Begin quote,2,6
BDS-CURATED-0357,là 547 tỷ,4,1
BDS-CURATED-0251,này là mình vào xây dựng được liền Nó đã bán hơn 200 nền,0,0
BDS-CURATED-0219,sẽ được cải thiện hơn,0,0
BDS-CURATED-0179,tuy đạt hiệu quả đầu tư về mặt tính toán nhưng sẽ bị vướng mắc về Pháp lý đất (đất SKC bị hết hạn,0,0
BDS-CURATED-0038,Hoa viên Vĩnh Thanh tại đường nhánh của đường DT19,1,6
BDS-CURATED-0198,cao tầng phải đầu tư 2–3 tầng hầm Trường hợp cần rà soát chi tiết và cập nhật chính xác hơn,0,0
BDS-CURATED-0042,có mặt tiền rộng khoảng 100m ngay đường Nguyễn Hữu Thọ,4,19
BDS-CURATED-0256,nếu vùng đất thấp phải san lấp thêm nữa thì đơn giá 250,0,2
BDS-CURATED-0223,xung quanh,1,2
BDS-CURATED-0360,đang vận hành có hệ số nén 0,6,8
BDS-CURATED-0365,Khu du lịch,3,3
BDS-CURATED-0282,Võ Văn Kiệt – Gộp 2 lô,0,1
BDS-CURATED-0111,Vì 2 vấn đề trên,3,3
BDS-CURATED-0217,Dự án phân lô Long Phước (ViệtNhân1234 / Blue Diamond Riverside),0,0
BDS-CURATED-0259,tham gia để đánh giá thêm về chuyên mô á Sếp,0,3
BDS-CURATED-0301,tại Đà Lạt vào ngày 09-11,0,0
BDS-CURATED-0099,50ha thuộc huyện Vĩnh Tường – Yên Lạc,2,1
BDS-CURATED-0322,Hải Nhân,8,23
BDS-CURATED-0346,cao tầng với tổng diện tích đất dự án là 10,2,5
BDS-CURATED-0329,căn hộ cao cấp tại vị trí nghiên cứu là khả thi với mức giá đấu max 370 tr,15,22
BDS-CURATED-0356,là 300 tỷ * Giải thích hệ số sử dụng đất càng cao (từ 3,3,1
BDS-CURATED-0106,KDC An Tôn theo 02 phương án quy hoạch,5,16
BDS-CURATED-0080,KHU DU LỊCH SINH THÁI BIỂN CAO CẤP LẠC VIỆT,0,1
BDS-CURATED-0233,Khu đô thị Bắc Quán Hành tại thị trấn Quán Hành,0,0
BDS-CURATED-0366,Phú Gia Khiêm,16,21
BDS-CURATED-0235,Sơn xdung đưa ở DT743 đó,0,0
BDS-CURATED-0308,Vương Bảo Long,0,0
BDS-CURATED-0285,bị Phốt nhiều à Vậy bỏ qua cái Đức Long nha by Unknown User,0,2
BDS-CURATED-0325,chung cư Việt An,4,11
BDS-CURATED-0288,của Nova đang khởi công t,0,1
BDS-CURATED-0244,của mình sẽ thực h,0,0
BDS-CURATED-0289,hiệu quả IRR đạt 10%,2,1
BDS-CURATED-0206,khác đang mở bán trên thị trường,0,0
BDS-CURATED-0207,khách sạn Đông Á Premier tại số 186/14 Hùng Vương,0,0
BDS-CURATED-0290,mình là đường ven biển rồi lên Cao Tốc ra Cảng Hải Phòng Anh vẽ cho em đường bộ và đường sông đi ra,0,0
BDS-CURATED-0175,này hồi xưa mình có thông tin nhưng sau đó đề xuất là không quan tâm sâu do có 2 nhược điểm lớn là,0,0
BDS-CURATED-0358,này nằm trong KCN Thái Hòa-Liễn Sơn-Liên Hòa Khu vực II Vị trí KCN,0,1
BDS-CURATED-0293,này sau phải tăng chi phí này lên by Unknown User,1,0
BDS-CURATED-0294,nên Nova buộc dừng thi công toàn bộ & bị khủng hoảng,0,0
BDS-CURATED-0262,tiền M&A nên đang bị phẩn bổ khá nhiều thời gian cho phần phân tích các dự án tiền M&A này Begin quote,0,0
BDS-CURATED-0372,trong Khu Công Nghiệp tỉnh Vĩnh Phúc,0,1
BDS-CURATED-0264,với A Sơn Trợ lý sau đó sẽ báo cáo BLĐ tính khả thi của dự án,0,0
BDS-CURATED-0224,đang vận hành của Tập đoàn là 5% -8%,1,0
BDS-CURATED-0303,được xác định bằng giá vốn ban đầu,1,0
BDS-CURATED-0349,hiệu quả với tỷ lệ LNTT/TMĐT từ > 12% là từ 90 triệu đồng/m2,4,0
BDS-CURATED-0375,đã và đang thực hiện trên BCTC,1,1
BDS-CURATED-0125,53ha đấu thầu tại đường Thăng Long,1,2
BDS-CURATED-0380,Hoàng Cát Center,2,6
BDS-CURATED-0108,Dự án Suối Nhum,2,4
BDS-CURATED-0341,khách sạn Đông Á Premier tại Phường Lộc Thọ,5,7
BDS-CURATED-0157,trên có diện tích hơn 77ha,0,0
BDS-CURATED-0362,386 ha là 84,8,11
BDS-CURATED-0414,Võ Văn Kiệt,0,1
BDS-CURATED-0369,cũng 42 tr/m2,0,3
BDS-CURATED-0140,thuộc QH hiện hữu là ô phố I82b (16,2,2
BDS-CURATED-0352,tọa lạc,0,1
BDS-CURATED-0152,chưa phê duyệt quyết định/ chấp thuận chủ trương đầu tư,0,0
BDS-CURATED-0383,gộp là 1,0,0
BDS-CURATED-0479,hoàn chỉnh nút giao và nhánh nối xa lộ Hà Nội - vành đai 3,0,0
BDS-CURATED-0119,kết nối vào quỹ đất,3,4
BDS-CURATED-0342,Bất động sản khảo sát,0,0
BDS-CURATED-0333,Phượng Hoàng,7,31
BDS-CURATED-0124,(giá bán quỹ đất bao gồm cam kết của đối tác sẽ hỗ trợ phần đất đi vào dự án) với chi phí làm đường là 1tr/m2,1,4
BDS-CURATED-0128,Parklane,2,0
BDS-CURATED-0203,du lịch sinh thái nghỉ dưỡng giải trí núi Chứa Chan với giá khoảng 1,0,3
BDS-CURATED-0178,tuy nhiên,1,0
BDS-CURATED-0159,Aqua city của Novaland đã được tháo gỡ vướng mắc về pháp lý,0,0
BDS-CURATED-0127,Khách sạn,2,7
BDS-CURATED-0166,Sông Đà - Quốc Cường Gia Lai (Nguồn từ Mr Tiến R&D) có giá chào 6,2,2
BDS-CURATED-0169,có vị trí tại phường An Bình,0,0
BDS-CURATED-0417,khách sạn Dự án Holiday,0,0
BDS-CURATED-0386,này không,0,0
BDS-CURATED-0215,phân lô ( ko xây nhà) nào đang rẻ nhất 1 Like reaction,0,0
BDS-CURATED-0389,đấu thầu tại Đà Nẵng,0,0
BDS-CURATED-0378,Aqua City và Swan Bay,0,1
BDS-CURATED-0394,Long Tân đến nay là khoảng 871 tỷ,1,3
BDS-CURATED-0132,Võ Văn Kiệt (Gộp 2 Lô) theo chỉ tiêu QH dự kiến điều chỉnh,2,3
BDS-CURATED-0368,có vị trí gần với Fenica và Phú Gia Khiêm,0,0
BDS-CURATED-0415,hạ tầng kết nối lớn tại các tỉnh thành lân cận,1,0
BDS-CURATED-0385,là KCN,0,1
BDS-CURATED-0400,sẽ bắt đầu từ quý 4-2026 đến năm 2029,0,0
BDS-CURATED-0428,Đầu tư xây dựng đường Cao tốc TP,0,3
BDS-CURATED-0148,"Lô đất mặt tiền Quốc lộ 13, Hiệp Bình Phước",0,3
BDS-CURATED-0113,Westgate của AnGia – 38 tr/m2 (vị trí trung tâm Huyện Bình Chánh) + Thấp hơn mức giá trung bình của Akari – Na,3,7
BDS-CURATED-0240,càng tốt ạ Vì luật hiện nay vẫn quy định đơn giá ko dc,0,0
BDS-CURATED-0399,này by Huy M - IM,1,0
BDS-CURATED-0373,đầu tư xây dựng Cao ốc căn hộ Hạnh Phúc,0,3
BDS-CURATED-0180,đạt hiệu quả với giá mua dự án ở khoảng 17 triệu đồng/m2 ~ ngưỡng giá mua dự án 520 tỷ đồng,3,3
BDS-CURATED-0432,35ha 1,0,0
BDS-CURATED-0184,50ha ở Vĩnh Yên,0,0
BDS-CURATED-0391,53ha Đà Nẵng),3,9
BDS-CURATED-0101,Cù lao Tân Vạn theo đơn giá bán (đất + nhà) trung bình dựa vào các loại hình do Mr,5,4
BDS-CURATED-0197,Với phương án của mình trước là làm phân kh,1,0
BDS-CURATED-0134,không đạt hiệu quả ạ Begin quote,6,2
BDS-CURATED-0181,"Khu đất đấu thầu Nhơn Trạch, Đồng Nai",0,0
BDS-CURATED-0183,(pháp lý,0,0
BDS-CURATED-0231,Hội An Riverside có nhiều khả năng thay đổi concept,0,0
BDS-CURATED-0355,Phụ trách Lâm Đồng và P,0,0
BDS-CURATED-0196,Thông tin quyết định chủ trương đầu tư/pháp lý dự án/thông tin quy hoạch dự án - Thông tin đơn vị khác tham,0,0
BDS-CURATED-0444,của DIG rồi ạ Begin quote,0,0
BDS-CURATED-0133,gộp 2 lô Võ Văn Kiệt theo thay đổi giá bán căn hộ và giá mua dự án,9,4
BDS-CURATED-0387,sau này chỉ có đấu thầu,0,1
BDS-CURATED-0376,đầu tư,0,0
BDS-CURATED-0390,168ha gần Khu Đa Phước - OneDrive (sharepoint,0,0
BDS-CURATED-0187,Cát Lái từ P,0,0
BDS-CURATED-0364,KDC Đại Nam,0,3
BDS-CURATED-0115,có tỷ lệ LNTT/TMDT đạt hiệu quả nhưng không đạt hiệu quả về chỉ tiêu IRR,2,0
BDS-CURATED-0249,nghỉ dưỡng nghìn tỷ bà Trương Mỹ Lan từng thâu tóm Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Thủ Thiêm (,0,0
BDS-CURATED-0136,này,0,2
BDS-CURATED-0138,này Ok by Admin 01,0,2
BDS-CURATED-0388,Khu đất 02 Tây Thạnh,0,5
BDS-CURATED-0374,đã có sổ riêng từng nền,1,0
BDS-CURATED-0164,Khu Đô Thị Văn Giang (Red River Villa) tại Hưng Yên,0,2
BDS-CURATED-0412,Swanbay 456ha hiện Dic đã chuyển,0,0
BDS-CURATED-0170,do mình có điều chỉnh qh 1/500,0,2
BDS-CURATED-0384,hiện tại là 28,2,3
BDS-CURATED-0416,khác Team cũng có đánh giá lại theo giá thị trường,1,1
BDS-CURATED-0118,không đạt hiệu quả tài,5,5
BDS-CURATED-0263,trên có diện tích,0,0
BDS-CURATED-0270,Khu đất đấu thầu 386 ha Nhơn Trạch,0,0
BDS-CURATED-0186,CCN Giao Yến cũng đang ở bước đầu xin dự án,0,0
BDS-CURATED-0353,Fenica,4,13
BDS-CURATED-0382,"SADACO - Phú Mỹ""",0,0
BDS-CURATED-0121,trong thời gian khai thác kinh doanh,0,1
BDS-CURATED-0265,Đà Nẵng,0,0
BDS-CURATED-0405,Diamond Island Q,0,2
BDS-CURATED-0408,NOXH của Công ty Ba Huân,0,0
BDS-CURATED-0193,Regalia Gold Nha Trang,0,0
