master_id,project_name,query,priority,latest_report_date,sample_excerpt
BDS-MASTER-0153,Cù Lao Tân Vạn – Centria Island (nguồn,"dự án - Cơ sở giá Vạn Phúc lấy theo các phân khu với vị trí giáp/gần bờ sông tương đồng với Cù lao Tân Vạn - Yếu tố diện tích 2. Bảng so sánh đơn giá theo từng phân khu bao gồm điều chỉnh yếu tốc vị trí dự án và diện tíc, Cù Lao Tân Vạn – Centria Island (nguồn, Quận 1, Đồng Nai",10,2025-04-21,[2025-04-21] Thao L - INVT 4/21/2025 4:35 PM Translate K.ĐT báo cáo anh Mr Mike1 -CEO về cập nhật dự án Cù Lao Tân Vạn – Centria Island (nguồn: Mr. Duy) như sau: I. CƠ SỞ GIÁ* * Đơn giá đất chưa VAT và không bao gồm xây dựng 1. Cơ sở các yếu tố so sánh giá giữa 02 dự án - Yếu tố vị trí dự án - Cơ sở giá Vạn Phúc lấy theo các phân khu với vị trí giáp/gần bờ sông tương đồng với Cù lao Tân Vạn - Yếu tố diện tích 2. Bảng so sánh đơn giá theo từng phân khu bao gồm điều chỉnh yếu tốc vị trí dự án và d
BDS-MASTER-0126,Cảng Sài Gòn – Thép Việt,"và kết nối, tiềm năng hạ tầng: - Cả 2 dự án nằm trong khu bến cảng Cái Mép – Thị Vải (thuộc cảng biển Bà Rịa – Vũng Tàu một trong 2 cảng biển loại đặc biệt lớn nhất cả nước, cùng với Cảng biển Hải Phòng), tiếp giáp với đ, Cảng Sài Gòn – Thép Việt, Long Thành, Bà Rịa Vũng Tàu 1",10,2022-08-09,"[2022-08-09] Quy Vo-PTDT 8/9/2022 2:33 PM K.ĐT gửi Mr.Tuấn Tuan Tran-CEO báo cáo về 3 dự án: Dự án Cảng Sài Gòn – Thép Việt, Dự án Cảng Sao Biển, Dự án Bãi Container & Dịch vụ cảng. 1. Dự án Cảng Sài Gòn – Thép Việt (Diện tích 34.5 ha) với giá chào 100 USD/m2 và dự án Cảng Sao Biển (Diện tích 69.04 ha) với giá chào 1.76 trđ/m2 tại Mỹ Xuân, Phú Mỹ, Bà Rịa Vũng Tàu 1.1 Về Pháp lý Dự án: - Dự án Cảng Sài Gòn – Thép Việt: đã có chủ trương đầu tư, GCN quyền sử dụng đất (Đất SXKD, thời hạn đến năm 205"
BDS-MASTER-0085,Felicia Đà Nẵng,"- Mặt tiền tiếp giáp đường Võ Nguyên Giáp, cách giao lộ đường Võ Nguyên Giáp và Võ Văn Kiệt khoảng 1,2km, cách giao lộ đường Võ Nguyên Giáp và Hồ Xuân Hương khoảng 1,4km - Bên trái giáp Serene Beach, cách Holiday Beach k, Felicia Đà Nẵng, Ngũ Hành Sơn, Đà Nẵng",10,2025-02-19,"[2025-02-19] Huy M - IM 2/19/2025 9:31 PM Translate K.ĐT báo cáo anh Mr Mike1 -CEO về dự án Felicia Đà Nẵng theo phương án tổ hợp khách sạn và Condotel, mặt tiền đường Võ Nguyên Giáp, Lô B5, thuộc khu phúc hợp đô thị, TMDV Royal Era 1, P. Mỹ An, Q. Ngũ Hành Sơn, T. Đà Nẵng như sau: 1/ Vị trí: - Mặt tiền tiếp giáp đường Võ Nguyên Giáp, cách giao lộ đường Võ Nguyên Giáp và Võ Văn Kiệt khoảng 1,2km, cách giao lộ đường Võ Nguyên Giáp và Hồ Xuân Hương khoảng 1,4km - Bên trái giáp Serene Beach, cách H"
BDS-MASTER-0128,Hoa viên Vĩnh Thanh sau khi có Thông số từ P,"theo đường phố (hoặc đường giao thông chính) cùng khu vực. - Hiện trạng đường tiếp giáp dự án chưa có tên, rộng >5m và cách đường Hùng Vương hơn 1Km, vì thế lấy theo Vị trí 3 đường Hùng Vương đoạn qua xã Vĩnh Thanh: 1.2t, Hoa viên Vĩnh Thanh sau khi có Thông số từ P, Đồng Nai",10,2026-01-23,"[2026-01-23] Thao L - INVT 1/23/2026 12:02 PM K.ĐT gửi anh Mr Mike1 -CEO cập nhật báo cáo dự án Hoa viên Vĩnh Thanh sau khi có Thông số từ P.QH v… Mà so sánh về hạ tầng, cảnh quan Sala với Phúc An Viên nha. Begin quote, Admin 01 , 1/24/2026 6:54 PM, ... by Thao L - INVT --- [2026-01-23] Thao L - INVT 1/23/2026 12:02 PM K.ĐT gửi anh Mr Mike1 -CEO cập nhật báo cáo dự án Hoa viên Vĩnh Thanh sau khi có Thông số từ P.QH v… Mà so sánh về hạ tầng, cảnh quan Sala vớ --- [2025-02-08] Thao L - INVT 2/8/20"
BDS-MASTER-0155,Hải Âu tại Bãi Trường,"Dự án nằm phía cuối Bãi Trường, có phần biển dài khoảng 250m, tiếp giáp đường Trần Hưng Đạo, cách dự án MeyHomes khoảng 2,3km. Hiện trạng: Dự án hiện có các công trình đang xây dựng, tuy nhiên không xác định rõ được tiến, Hải Âu tại Bãi Trường, Phú Quốc",10,2022-11-04,"[2022-11-04] Thao L - INVT 11/4/2022 3:24 PM K.ĐT báo cáo anh Tuan Tran-CEO dự án Hải Âu tại Bãi Trường, Dương Tơ, Phú Quốc. Thông tin: Dự án có quy mô 11.2ha với giá chào chuyển nhượng là 1.100 tỷ tương ứng 9,7tr.đ/m2 (bao hồm hiện trạng có các công trình trên đất). Vị trí: Dự án nằm phía cuối Bãi Trường, có phần biển dài khoảng 250m, tiếp giáp đường Trần Hưng Đạo, cách dự án MeyHomes khoảng 2,3km. Hiện trạng: Dự án hiện có các công trình đang xây dựng, tuy nhiên không xác định rõ được tiến độ,"
BDS-MASTER-0213,Hội An Riverside Resort & Spa,"- Tiếp giáp mặt tiền đường Cửa Đại, đường trải nhựa, đường rộng khoảng 10m; Phía Tây dự án tiếp giáp sông Cổ Cò. - Cách giao lộ đường Cửa Đại và Võ Chí Công khoảng 450m. - Cách Bãi Biển khoảng 1,5km. - Cách trung tâm hàn, Hội An Riverside Resort & Spa, Hội An, Quảng Nam",10,2024-11-15,"[2024-11-15] Sinh Nguyen-Dau Tu 11/15/2024 5:23 PM Edited Translate K.ĐT báo cáo anh Mr Mike1 -CEO về dự án Hội An Riverside Resort & Spa, mặt tiền đường Cửa Đại, phường Cẩm Châu, Thành phố Hội An, tỉnh Quảng Nam như sau: 1/ Vị trí - Tiếp giáp mặt tiền đường Cửa Đại, đường trải nhựa, đường rộng khoảng 10m; Phía Tây dự án tiếp giáp sông Cổ Cò. - Cách giao lộ đường Cửa Đại và Võ Chí Công khoảng 450m. - Cách Bãi Biển khoảng 1,5km. - Cách trung tâm hành chính TP. Hội An khoảng 3km. - Cách Bel Marina"
BDS-MASTER-0158,KCN Phước An tại xã Phước An,"xã Phước An, huyện Nhơn Trạch, tỉnh Đồng Nai Định vị: KCN Phước An Giai đoạn 1+2 và Giai đoạn 3 – Cảng Phước An Diện tích: - Giai đoạn 1: 330 ha - Giai đoạn 2: 220 ha - Giai đoạn 3: 183 ha => Tổng 3 giai đoạn: 733 ha Mục, KCN Phước An tại xã Phước An, Nhơn Trạch, Đồng Nai",10,2025-05-15,"[2025-05-15] Khang Do - CVDT 5/15/2025 5:11 PM Translate P. ĐT báo cáo anh Mr Mike1 -CEO về dự án KCN Phước An tại xã Phước An, huyện Nhơn Trạch, tỉnh Đồng Nai như sau: 1. THÔNG TIN TỔNG QUAN Tên dự án: Khu công nghiệp Phước An Vị trí: xã Phước An, huyện Nhơn Trạch, tỉnh Đồng Nai Định vị: KCN Phước An Giai đoạn 1+2 và Giai đoạn 3 – Cảng Phước An Diện tích: - Giai đoạn 1: 330 ha - Giai đoạn 2: 220 ha - Giai đoạn 3: 183 ha => Tổng 3 giai đoạn: 733 ha Mục đích sử dụng đất: SKK – Khu công nghiệp (dị"
BDS-MASTER-0130,KCN Thái Hòa – Liễn Sơn – Liên Hòa - Khu vực 1 (284 ha) thuộc địa phận các xã,"Cách đường Quốc lộ 2C khoảng 80m. Nằm ở giáp ranh giữa Vĩnh Phúc và Tuyên Quang, là khu công nghiệp có vị trí xa nhất khi hướng về Hà Nội và Hải Phòng Cách trung tâm Thành phố Vĩnh Yên khoảng 22km Cách đường Vành Đai 5 (, KCN Thái Hòa – Liễn Sơn – Liên Hòa - Khu vực 1 (284 ha) thuộc địa phận các xã, Vĩnh Phúc",10,2023-06-16,"[2023-06-16] Sinh Nguyen-Dau Tu 6/16/2023 8:48 PM K.ĐT báo cáo anh Tuan Tran-CEO dự án KCN Thái Hòa – Liễn Sơn – Liên Hòa - Khu vực 1 (284 ha) thuộc địa phận các xã Thái Hòa và xã Bắc Bình, huyện Lập Thạch, tỉnh Vĩnh Phúc như sau: 1/ Vị trí Cách đường Quốc lộ 2C khoảng 80m. Nằm ở giáp ranh giữa Vĩnh Phúc và Tuyên Quang, là khu công nghiệp có vị trí xa nhất khi hướng về Hà Nội và Hải Phòng Cách trung tâm Thành phố Vĩnh Yên khoảng 22km Cách đường Vành Đai 5 (đường Vành Đai – Vùng Thủ Đô) khoảng 16"
BDS-MASTER-0131,KDC Minh Hưng tại xã Minh Hưng,"và quy hoạch tương lai khu vực: - Có đường vào giáp mặt tiền QL13 (rộng 16m), xã Minh Hưng, Huyện Chơn Thành, Tỉnh Bình Phước. Cách KDC Đại Nam khoảng 1Km. - Về hạ tầng giao thông: Trong tương lai, các đường cao tốc TPHC, KDC Minh Hưng tại xã Minh Hưng, TPHCM",10,2022-12-14,"[2022-12-14] Thao L - INVT 12/14/2022 11:04 AM K.ĐT gửi anh Tuan Tran-CEO báo cáo dự án KDC Minh Hưng tại xã Minh Hưng, Chơn Thành, Bình Phước có quy mô 15,2ha, có giá chào 280 tỷ (~1,83 tr.đồng/m2), chưa bao gồm tiền CMĐSDĐ, cụ thể: Vị trí và quy hoạch tương lai khu vực: - Có đường vào giáp mặt tiền QL13 (rộng 16m), xã Minh Hưng, Huyện Chơn Thành, Tỉnh Bình Phước. Cách KDC Đại Nam khoảng 1Km. - Về hạ tầng giao thông: Trong tương lai, các đường cao tốc TPHCM- Chơn Thành, cao tốc Chơn Thành – Đăk"
BDS-MASTER-0216,Khu du lịch,"giữa 2 khu đất trên, NVL đã thực hiện nộp thêm 53 tỷ (tiền chênh lệch) và được ghi nhận vào năm 2016. Như vậy đối với nghĩa vụ tiền sử dụng đất phải nộp để thực hiện dự án NOTM Lakeview, NVL đã bỏ ra tiền bồi thường giải, Khu du lịch, TP.HCM",10,2025-02-28,"[2025-02-28] Huy M - IM 2/28/2025 11:55 AM Translate Liên quan đến vấn đề giải quyết vướng mắc cho CĐT Novaland tại 2 dự án 30.2 Bình Khánh (Waterbay) và 30.1 ha Nam Rạch Chiếc (Lakeview): Nguồn gốc: Năm 2004, NN giao đất khu Waterbay cho công ty Thế kỷ 21 (công ty con của NVL) để thực hiện dự án Khu du lịch, văn hóa, giải trí. Năm 2008, NVL đã hoàn thành bồi thường giải phóng mặt bằng theo QĐ giao đất năm 2004 Năm 2016, TP.HCM xác định khu dự án Waterbay là 1 phần trong khu tái định cư Thủ Thiê"
BDS-MASTER-0107,Khu nhà ở Đại Quang Minh,"Tiếp giáp đường D4 (vào bằng đường Thuận Giao 09), Thuận Giao, Thuận An, Bình Dương. - Link map: https://goo.gl/maps/GPVNSt7Q6a73xSKHA - Hiện trạng: HTKT đã hoàn thành, 08/20 căn đã bán xây dựng xong phần thô, phần 12 că, Khu nhà ở Đại Quang Minh, Thuận Giao, Bình Dương",10,2023-06-12,"[2023-06-12] Thao L - INVT 6/12/2023 1:50 PM K.ĐT báo cáo anh Tuan Tran-CEO về dự án Khu nhà ở Đại Quang Minh, Thuận Giao, Bình Dương - Dự án thấp tầng nằm cùng khu với Dự án cao tầng Việt An; Nguồn Mr. Duy - P.PTQĐ như sau: 1/ THÔNG TIN DỰ ÁN: - Giá chào: 135 tỷ cho phần còn lại của dự án - 55 nền đất chưa xây dựng nhà ở, hạ tầng hoàn thiện. - Diện tích đất dự án: 9.680m2 trong đó có 5.034,8m2 đất ở tương ứng 75 căn, đối tác đã bán 20 căn có tổng diện tích đất là 1.392,4m2 => Phần diện tích đất"
BDS-MASTER-0109,Khu Đô Thị Mới Hậu Nghĩa - Đức Hòa,"https://goo.gl/maps/KCGefw7KgVDUzTPh7 2/ Thông tin: - Năm 2018 VinGroup có văn bản Đề xuất lập quy hoạch đầu tư dự án Khu đô thị mới Hậu Nghĩa – Đức Hòa, vì thế hiện nay trên các trang thông tin (Guland, các báo điện tử,, Khu Đô Thị Mới Hậu Nghĩa - Đức Hòa, Long An",10,2023-06-17,"[2023-06-17] Thao L - INVT 6/17/2023 11:19 AM K.ĐT gửi anh Tuan Tran-CEO thông tin về dự án Khu Đô Thị Mới Hậu Nghĩa - Đức Hòa như sau: THÔNG TIN VỀ DỰ ÁN KHU ĐÔ THỊ MỚI HẬU NGHĨA – ĐỨC HÒA 1/ Vị trí: https://goo.gl/maps/KCGefw7KgVDUzTPh7 2/ Thông tin: - Năm 2018 VinGroup có văn bản Đề xuất lập quy hoạch đầu tư dự án Khu đô thị mới Hậu Nghĩa – Đức Hòa, vì thế hiện nay trên các trang thông tin (Guland, các báo điện tử,…) đều thể hiện VinGroup là CĐT của dự án này. - Tuy nhiên vào ngày 07/06/2023 "
BDS-MASTER-0161,Khu đất Ngô Chí Quốc Bình Chiểu Thủ Đức,"và hiện trạng: a. Vị trí: - Vị trí: Khu đất nằm trên mặt tiền đường Ngô Chí Quốc, Bình Chiểu, Thủ Đức, TPHCM. - Link map: https://goo.gl/maps/Empzn8zwhyULFrqV8 - Khu đất có vị trí nằm trong phần địa giới TP.HCM giáp ranh, Khu đất Ngô Chí Quốc Bình Chiểu Thủ Đức, Thủ Đức, TPHCM",10,2023-08-03,"[2023-08-03] Thao L - INVT 8/3/2023 2:18 PM Edited K.ĐT gửi anh Tuan Tran-CEO báo cáo dự án đường Ngô Chí Quốc, Bình Chiểu, Thủ Đức – nguồn Mr. Duy như sau: 1. THÔNG TIN KHU ĐẤT 1.1. Vị trí và hiện trạng: a. Vị trí: - Vị trí: Khu đất nằm trên mặt tiền đường Ngô Chí Quốc, Bình Chiểu, Thủ Đức, TPHCM. - Link map: https://goo.gl/maps/Empzn8zwhyULFrqV8 - Khu đất có vị trí nằm trong phần địa giới TP.HCM giáp ranh tỉnh Bình Dương: + Cách nút giao Gò Dưa và đường quy hoạch Vành Đai 2 khoảng 3Km. + Cách "
BDS-MASTER-0189,Phú Quang khoảng 350m + Có 2 mặt tiếp xúc kênh rạch II/ Kết nối giao thông đến dự án,"+ Khu đất có mặt tiền rộng khoảng 200m, tiếp giáp đường 4A đi ra hướng đường Ngô Chí Quốc và Quốc lộ 13 + Cách Dự án Phú Quang khoảng 350m + Có 2 mặt tiếp xúc kênh rạch II/ Kết nối giao thông đến dự án: Khu đất tiếp giáp, Phú Quang khoảng 350m + Có 2 mặt tiếp xúc kênh rạch II/ Kết nối giao thông đến dự án, Thủ Đức, TPHCM",10,2023-11-27,"[2023-11-27] Trieu Nguyen-PTDT 11/27/2023 3:01 PM Edited KĐT gửi anh Tuan Tran-CEO báo cáo Thu gom quỹ đất thuộc phường Bình Chiểu, Thủ Đức, TPHCM: I/ Vị trí: + Khu đất có mặt tiền rộng khoảng 200m, tiếp giáp đường 4A đi ra hướng đường Ngô Chí Quốc và Quốc lộ 13 + Cách Dự án Phú Quang khoảng 350m + Có 2 mặt tiếp xúc kênh rạch II/ Kết nối giao thông đến dự án: Khu đất tiếp giáp đường 4A (đoạn đã mở rộng lộ giới khoảng 23m). Tuy nhiên, các tuyến đường chính kết nối đến khu đất vẫn chưa hoàn thành "
BDS-MASTER-0057,Stown Gateway có quy mô 8816m2 tại hẻm Quốc lộ 13,"và hiện trạng: - Nằm cách Quốc lộ 13 khoảng 50m, cách dự án Phú Quang khoảng 2.5km đường … Này ai gửi nhỉ Image by Unknown User, Stown Gateway có quy mô 8816m2 tại hẻm Quốc lộ 13, Bình Dương",10,2022-08-10,"[2022-08-10] Unknown User 8/10/2022 4:02 PM KĐT gửi anh Tuan Tran-CEO báo cáo dự án Stown Gateway có quy mô 8816m2 tại hẻm Quốc lộ 13, Thuận An, Bình Dương có giá chào 530 tỷ (bao gồm tiền sử dụng đất và GPXD, tương đương 60tr/m2 đất): 1) Vị trí và hiện trạng: - Nằm cách Quốc lộ 13 khoảng 50m, cách dự án Phú Quang khoảng 2.5km đường … Này ai gửi nhỉ Image by Unknown User --- [2022-08-10] Trieu Nguyen-PTDT 8/10/2022 4:02 PM KĐT gửi anh Tuan Tran-CEO báo cáo dự án Stown Gateway có quy mô 8816m2 tạ"
