coordinate,record_count,name_groups,names,ids
"10.95747,106.70743",6,6,Thông tin quyết định chủ trương đầu tư/pháp lý dự án/thông tin quy hoạch dự án - Thông tin đơn vị khác tham | by Huy M - IM | cao tầng Việt An | thương hiệu Trump đầu tiên tại Việt Nam - Tuổi Trẻ Online Chiều 21-5 | trên đã có các nhà đàu tư đăng ký tham gia đấu thầu | tuy đạt hiệu quả đầu tư về mặt tính t,BDS-MASTER-0074; BDS-MASTER-0296; BDS-MASTER-0432; BDS-MASTER-0472; BDS-MASTER-0476; BDS-MASTER-0477
"16.05339,108.24772",6,6,Felicia Đà Nẵng | Holiday Beach tại Đà Nẵng đánh giá nhanh phương án vận hành khách sạn tạm thời trong thời gian ngắn | Khu nhà ở công nhân và chuyên gia tại xã Nhơn Trạch của Công ty TNHH Vạn Phúc | Võ Văn Kiệt (Gộp 2 Lô) theo chỉ tiêu QH dự kiến điều chỉnh | chung cư nhiều nhưng số lượng dự án và thị trường thì thấy Đà Nẵng có vẻ sôi động hơn à Nhưng condotel ở Đà Nẵ | gộp 2 lô Võ Văn Kiệt theo thay đổi giá bán căn hộ và giá mua dự án,BDS-MASTER-0085; BDS-MASTER-0193; BDS-MASTER-0195; BDS-MASTER-0212; BDS-MASTER-0359; BDS-MASTER-0426
"10.68736,106.71861",6,6,=> Nên chưa đánh giá hiệu quả dự án theo yếu tố dòng tiền ** Link Drive | Hội An Riverside có nhiều khả năng thay đổi concept | bên mình đã đang follow nha a Huy Mai-PTDT Anh đã share hồ sơ cho em rồi nha | có mặt tiền rộng khoảng 100m ngay đường Nguyễn Hữu Thọ | cần kiểm tra lại QH 1 | lớn và có quy mô tương tự dự án Nghiên cứu (Dự án – Hùng Thắng 1,BDS-MASTER-0090; BDS-MASTER-0303; BDS-MASTER-0337; BDS-MASTER-0343; BDS-MASTER-0374; BDS-MASTER-0433
"11.0197,108.24827",6,6,(pháp lý | 54ha liền kề sân bay Phan Thiết có giá chào 860-900 tỷ | dự kiến hợp tác vs | dự kiến hợp tác vs park hyatt | này hiện đã thực hiện pháp lý đến gia | này nha anh Cái này phải đi khảo sát địa hình,BDS-MASTER-0101; BDS-MASTER-0258; BDS-MASTER-0276; BDS-MASTER-0306; BDS-MASTER-0318; BDS-MASTER-0457
"10.57539,107.57089",6,6,KHU DU LỊCH SINH THÁI BIỂN CAO CẤP LẠC VIỆT | có vị trí tại phường An Bình | du lịch sinh thái nghỉ dưỡng giải trí núi Chứa Chan với giá khoảng 1 | nghỉ dưỡng nghìn tỷ bà Trương Mỹ Lan từng thâu tóm Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Thủ Thiêm ( | này hồi xưa mình có thông tin nhưng s | ở Thái à Bên Thái tuần này đang trong thời gian nghỉ,BDS-MASTER-0132; BDS-MASTER-0256; BDS-MASTER-0305; BDS-MASTER-0377; BDS-MASTER-0409; BDS-MASTER-0455
"10.95724,106.73895",5,5,Phượng Hoàng theo Chính sách bán hàng mới từ Mr Cường (SM) | cao tầng Icon Plaza | cao tầng phải đầu tư 2–3 tầng hầm Trường hợp cần rà soát chi tiết và cập nhật chính xác hơn | này sau phải tăng chi phí này lên by Unknown User | đối diện hiện tại là giá chào của khách lẻ,BDS-MASTER-0003; BDS-MASTER-0299; BDS-MASTER-0332; BDS-MASTER-0428; BDS-MASTER-0459
"10.6868,106.93619",5,5,728 Cách Mạng Tháng 8 Tổng mức đầu tư (Chưa VAT) | của Nova đang khởi công t | gồm Chung cư cao tầng gồm 02 Hầm + 02 tầng Khối đế + 26 tầng căn hộ (trong đó căn hộ NOXH chiếm 20% tổng số că | đang ở giai đoạn đ | đấu giá 102ha,BDS-MASTER-0015; BDS-MASTER-0065; BDS-MASTER-0102; BDS-MASTER-0403; BDS-MASTER-0442
"16.08381,108.2209",5,5,Sơn xdung đưa ở DT743 đó | THTT | VEN SÔNG HÀN | mình là đường ven biển rồi lên Cao Tốc ra Cảng Hải Phòng Anh vẽ cho em đường bộ và đường sông đi ra | đang vận hành của Tập đoàn là 5% -8%,BDS-MASTER-0031; BDS-MASTER-0330; BDS-MASTER-0354; BDS-MASTER-0355; BDS-MASTER-0451
"16.07757,108.2462",5,5,chung cư cao cấp THAT 1 | khi thực hiện kcn phải san lấp thêm ở mức bao nhiêu nên cũng chưa ước tính chi phí san lấp cho dự án này | khách sạn cạnh TMS với giá chào là 650tr/m2 tại 290 Võ Nguyên Giáp | này hiện đã thực hiện pháp lý đến giai đoạn cấp sổ đỏ riêng cho từng lô biệt thự Nhưng hiện tại | Đà Nẵng thì liên hệ A Tịnh,BDS-MASTER-0034; BDS-MASTER-0142; BDS-MASTER-0264; BDS-MASTER-0308; BDS-MASTER-0400
"10.69844,107.08043",5,5,Phú Quang khoảng 350m + Có 2 mặt tiếp xúc | Swanbay 456ha hiện Dic đã chuyển nhượng lại các dự án thành phần cho các chủ đầu tư khác nên có nhiều dự án co | hạ tầng trọng điểm quốc gia đang được triển khai như Đường DT 770B (LG 60m) khởi công xây dựng Quý I-2024 | khu nhà ở Tân Mai (thuộc danh sách dự kiến đấu giá tại Đồng Nai 2026) A) Thông tin chung | này --- [] Monday,BDS-MASTER-0045; BDS-MASTER-0141; BDS-MASTER-0200; BDS-MASTER-0294; BDS-MASTER-0351
"10.71011,106.64893",5,5,Asia Phú Mỹ – Bình Chánh (dự án do anh Hiếu-GĐPL giới thiệu) 1 | Nơ Trang Long | này với các điều kiện sau | sẽ mất 1 năm để xử lý các vấn đề liên quan khoản nợ đang trong DATC | sẽ được cải thiện hơn,BDS-MASTER-0052; BDS-MASTER-0077; BDS-MASTER-0110; BDS-MASTER-0324; BDS-MASTER-0383
"10.63128,107.0212",5,5,2769m2 tại Đà Nẵng | Bãi Container & Dịch vụ Cảng (Diện tích 31 ha) với giá chào 2 trđ/m2 tại Phước Hòa | Cảng Sài Gòn – Thép Việt | bị Phốt nhiều à Vậy bỏ qua cái Đức Long nha by Unknown User | tại Đà Lạt vào ngày 09-11,BDS-MASTER-0083; BDS-MASTER-0098; BDS-MASTER-0126; BDS-MASTER-0434; BDS-MASTER-0479
"20.82262,106.87252",5,4,Khu Công Nghiệp Và Khu Phi Thuế Quan Xuân Cầu tại Khu Cảng Cửa Ngõ Quốc Tế Lạch Huyện | cảng tổng hợp và container Cái Mép Hạ được đề xuất đầu tư với tổng vốn 50 | là tính khả thi của công tác giải phóng mặt bằng khi diện tích nhà dân nằm xen cài nhiều trong ranh đất dự án | này là mình vào xây dựng được liền Nó đã bán hơn 200 nền,BDS-MASTER-0039; BDS-MASTER-0229; BDS-MASTER-0247; BDS-MASTER-0302; BDS-MASTER-0380
"10.79649,106.72886",4,4,Bãi Kèo Phú Quốc | Cao tầng 31 Trần Não | này có các vấn đề pháp lý chưa rõ và cần Phòng pháp lý dự án đánh giá chi tiết | này hiện chỉ đóng tiền sử dụng đát trên diện tích đất xây dựng thay vì diện tích đất toàn khu đối với toàn khu,BDS-MASTER-0004; BDS-MASTER-0104; BDS-MASTER-0201; BDS-MASTER-0317
"10.67416,106.92927",4,4,NOXH khu vực Nhơn Trạch | NOXH khu vực Phước An | Phú Quang | nêu trên (QĐ 789 cho khu đất 2,BDS-MASTER-0006; BDS-MASTER-0012; BDS-MASTER-0111; BDS-MASTER-0384
"10.86086,106.69993",4,4,Lô đất Phú Thọ Hòa Tân Phú | rà soát và làm rõ các điểm pháp lý sau | tham gia để đánh giá thêm về chuyên mô á Sếp | theo Sổ cấp 2017 là 10,BDS-MASTER-0011; BDS-MASTER-0051; BDS-MASTER-0322; BDS-MASTER-0392
"10.95482,106.84333",4,4,Chung cư Võ Thị Sáu | nhà ở xã hội UBND Đồng Nai mời quan tâm đấu thầu | triển khai chi tiết | đạt hiệu quả LNTT/TMĐT ~ >=20% ở khung từ giá bán bình quân chưa VAT đạt từ 75 triệu/m2 trở lên chi phí đầu tư,BDS-MASTER-0016; BDS-MASTER-0199; BDS-MASTER-0207; BDS-MASTER-0326
"10.78716,106.73062",4,4,Chung cư Trường Thịnh | Khu chung Cư và văn phòng An PHú Quy hoạch chỉ tiết 1/500 đã được phê duyệt có 3 khu chức năng chính | The Bale của Được gửi giá đã giảm mà lại ko lãi hã Dự án Bale này giá có giảm nhưng pháp lý trước đây họ cam k | quy mô trên 1000 ha trước khi Nova bị mất thanh khoản định xúc tiến ở Bà Rịa,BDS-MASTER-0023; BDS-MASTER-0215; BDS-MASTER-0253; BDS-MASTER-0390
"10.88843,106.69858",4,4,là 30 | đấu giá 77ha | đấu thầu | ở khu vực gần đó đã được duyệt giá đất (như Emerald 2,BDS-MASTER-0035; BDS-MASTER-0069; BDS-MASTER-0150; BDS-MASTER-0331
"11.94127,108.46319",4,4,Khách sạn 5 sao 12 Hùng Vương Đà Lạt | hiệu quả IRR đạt 10% | khách sạn Đông Á Premier tại số 186/14 Hùng Vương | được xác định bằng giá vốn ban đầu,BDS-MASTER-0040; BDS-MASTER-0311; BDS-MASTER-0446; BDS-MASTER-0485
"10.88682,106.71564",4,4,12ha KDC Vĩnh Phú gần Phú Quang | Khu đất Ngô Chí Quốc Bình Chiểu Thủ Đức | Phú Quang khoảng 350m + Có 2 mặt tiếp xúc kênh rạch II/ Kết nối giao thông đến dự án | theo link bên dưới,BDS-MASTER-0059; BDS-MASTER-0161; BDS-MASTER-0189; BDS-MASTER-0393
"10.78597,106.68058",4,4,Văn phòng tại khu đất 197 Lê Văn Sỹ | Văn phòng tại khu đất 197 Lê Văn Sỹ cập nhật Hệ số sử dụng đất mới 9 | không đạt hiệu quả tài chính | với A Sơn Trợ lý sau đó sẽ báo cáo BLĐ tính khả thi của dự án,BDS-MASTER-0073; BDS-MASTER-0138; BDS-MASTER-0144; BDS-MASTER-0398
"16.06931,108.24044",4,4,The Sang Residence đang gần hoàn thành xây dựng với giá bán (58-68trđ/m2) với vị trí nằm sâu trong đường Phạm | của mình nằm sát Khu CBD mới của Đà Nẵng và lợi thế nằm ngay đường Phạm Văn Đồng (có 4 mặt tiền | khu tổ hợp văn phòng cho thuê | xung quanh,BDS-MASTER-0117; BDS-MASTER-0295; BDS-MASTER-0304; BDS-MASTER-0329
"20.18587,106.36613",4,4,làm KCN tại huyện Nghĩa Hưng Khảo sát vị trí hiện trạng | Đông Trung | Đông Trung tại Thuận An | được đề xuất nghiên cứu đầu tư tại huyện Giao Thuỷ,BDS-MASTER-0119; BDS-MASTER-0149; BDS-MASTER-0262; BDS-MASTER-0483
"18.7907,105.64027",4,4,(1) chưa có chủ trương đầu tư (Điểm cộng để xin thí điểm) + (2) dự án chưa đăng ký ngay đợt đầu như PGK nên sợ | Khu Đô Thị Mới Bắc Quán Hành - Quán Hành - Nghi Lộc - Nghệ An | Khu đô thị Bắc Quán Hành tại thị trấn Quán Hành | Khu đô thị mới Bắc Quán Hành tại thị trấn Quán Hành,BDS-MASTER-0133; BDS-MASTER-0134; BDS-MASTER-0275; BDS-MASTER-0347
"10.69627,106.61376",4,4,Masteri An Phú - Masteri Thảo Điền - The Vista tăng 40-50% giá trị chỉ trong 3 tháng ) 🎉 Nếu lấy sàn thứ 2 (70 | chỉ mới trong giai đoạn pháp lý đền bù GPMB thì được xem là quỹ đất và được định giá lại theo phương thức giá | căn hộ Đức Long Western Park Dự án Đức Long Western Park tại quận Bình Tân | thuộc trường hợp giao đất không thông qua đấu giá quyền sử dụng đất - Hồ sơ pháp lý,BDS-MASTER-0147; BDS-MASTER-0218; BDS-MASTER-0225; BDS-MASTER-0255
"13.78918,100.50152",4,4,IDEO CHANRAN 70 RIVERVIEW nằm trên đường Charan Sanit Wong | IDEO cách trung tâm Bangk | IDEO cách trung tâm Bangkok khoảng 6-7Km và gần sông Chao Phraya | Văn phòng tại khu đất 72-74 Võ Thị Sáu,BDS-MASTER-0157; BDS-MASTER-0166; BDS-MASTER-0287; BDS-MASTER-0344
