master_id,project_name,issues,latest_report_date,coords,land_area_main,sample_excerpt
BDS-MASTER-0015,đấu giá 102ha,missing_report_date,,"10.686804, 106.936193",1.020.000 m² (~102.00 ha),"[] P.ĐT báo cáo Sếp Mr Mike1 -CEO về hiệu quả cho dự án đấu giá 102ha, Phước An, Nhơn Trạch, Đồng Nai như sau: 1/ VỊ TRÍ DỰ ÁN ĐẤU GIÁ https://maps.app.goo.gl/QVMCmJp83pMBNKrL8 2/ THÔNG SỐ QUY HOẠCH DỰ ÁN: Theo Phương án đấu giá ngày 10/11/2025 giá khởi điểm 1.696 tỷ đồng. Tuy nhiên, Thông báo đấu giá ngày 24/11/2025 mức giá khởi điểm tăng lên 5.013 tỷ đồng. 2.1 Hạng mục đất đấu giá, Trong đó Đất ở chiếm 34,6% và Đất CTCC chiếm 8,1% + TỔNG DIỆN TÍCH TOÀN KHU: 1.019.443,5m2 (102ha) 2.2 Hạng mục diện tích xây dựng 3/ ĐỀ XUẤT GIÁ BÁN CHO DỰ ÁN CỦA P.RD 4/ HIỆU QUẢ DỰ ÁN ĐẦU TƯ 5.1 Suất vốn đầu tư + Suất vốn đầu tư All in gồm VAT Nhà Liên Kế: 8 Triệu đồng/m2 + Suất vốn đầu tư All in gồm VAT Nhà "
BDS-MASTER-0017,KĐT Trấn Biên (thuộc KCN Biên Hòa 1) đang tổ chức đấu giá tại Đồng Nai,missing_report_date,,"10.907246, 106.8478032",516.500 m² (~51.65 ha),"[] P.ĐT báo cáo sếp Mr Mike1 -CEO đánh giá sơ bộ hiệu quả dự án KĐT Trấn Biên (thuộc KCN Biên Hòa 1) đang tổ chức đấu giá tại Đồng Nai. 1.Vị trí dự án: https://maps.app.goo.gl/Mww4k2RWctPHssMQA 2. Thông số quy hoạch: - Diện tích: 51.65 ha (16.7ha đất ở, 4.8ha đất hạ tầng xã hội + TMDV) - Sản phẩm: Nhà phố, biệt thự, 3 khu chung cư cao từ 40-45 tầng, 1 Trung tâm thương mại, Trường học, y tế,…) - Dân số: ~ 19.774 dân 3. Pháp lý: Dự án đã có QH 1/500, đang thực hiện công tác giải phóng mặt bằng để tổ chức đấu giá theo kế hoạch. Theo thông báo đấu giá, thời gian nộp hồ sơ/tiền ứng trước từ 17/11/2025 đến 16/12/2025. Thời gian xét duyệt hồ sơ từ 04/12/2025-10/12/2025 Thời gian tổ chức đấu giá: 18"
BDS-MASTER-0018,Thủ Đức Living,missing_report_date,,"10.8679394, 106.763008",4.661 m²,"[] P.ĐT xin báo cáo sếp Admin 01 dự án Thủ Đức Living, Đường Phạm Văn Đồng, TP HCM 1. Tóm tắt sơ bộ hiện trạng pháp lý dự án: a) Vị trí và ranh dự án: https://maps.app.goo.gl/D8GuCY5LefTH8JVq9 b) Sơ bộ hiện trạng pháp lý: Tổng diện tích khu đất là: 4,661 m2 (1,471 m2 đất ở, 3,190m2 đất cây hằng năm) Pháp lý đất: được thực hiện dự án thí điểm Nhà Ở Thương Mại (Dựa theo nghị quyết 171). Pháp lý QH: Diện tích phù hợp QH còn 3,545 m2 (Dính lộ giới: 1,111m2). Tầng cao 25 tầng cao, 0 tầng hầm; Hệ số sử dụng đất 6 lần, dân số là 500 người (tương đương hệ số 5.31 ,chưa sử dụng hết được hệ số HS SDĐ) 2. Hiệu quả dự án: a) Doanh thu (Có VAT): 1,179 tỷ VNĐ Giá bán căn hộ chung cư: 1,038 tỷ (66tr/m2 tim"
BDS-MASTER-0021,nhà ở lực lượng vũ trang nhân dân Quận 12,missing_report_date; missing_legal; missing_planning,,"10.824590, 106.617167",11.800 m² (~1.18 ha),"[] P.ĐT báo cáo anh Mr Mike1 -CEO về hiệu quả sơ bộ cho dự án nhà ở lực lượng vũ trang nhân dân Quận 12. 1. Dự án Nhà ở lực lượng vũ trang nhân dân khu tái định cư Tân Thới Nhất (Depot Tham Lương), Quận 12 - Vị trí: https://maps.app.goo.gl/xg6rRMGswq5scyCbA - Tổng diện tích: 1,18 ha - Quy mô công trình: 2 block (1 NOTM, 1 NOXH) cao 12 tầng, 1 hầm - Tổng sản phẩm: NOTM: 129 căn NOXH: 539 căn - Tổng mức đầu tư: 904,9 tỷ (suất đầu tư xây dựng công trình : 11,2 tr/m2) - Tổng doanh thu: 1.081,2 tỷ (giá bán NOTM: 57tr./m2, giá bán NOXH: 24,1 tr/m2) Hiệu quả đầu tư: - LNTT: 105,38 tỷ - LNST: 93,1 tỷ - NPV: 16,8 tỷ - IRR: 16,0% - LNTT/TMĐT: 11,65% - LNTT/Vốn CSH: 50,5% 2. Dự án Nhà ở lực lượng vũ tr"
BDS-MASTER-0025,Holiday Beach,missing_report_date,,"16.049709, 108.248700",470.000 m² (~47.00 ha),"[] P.ĐT báo cáo anh Mr Mike1 -CEO về dự án Holiday Beach theo phương án Hotel & Condotel, Mặt tiền đường Võ Nguyên Giáp, P. Mỹ An, Q. Ngũ Hành Sơn, T. Đà Nẵng: 1/ Chỉ tiêu quy hoạch: - Mật độ xây dựng: 71,5% - Hệ số sử dụng đất: 12,76 lần - Tầng cao: 19 tầng + 2 hầm - Theo P. R&D nghiên cứu, cơ cấu sản phẩm với tỷ lệ: 60% Condotel và 40% Hotel. Tổng sản phẩm 680 căn, gồm: + 272 phòng Hotel, với diện tích trung bình: 38m²/phòng + 408 căn Condotel, với diện tích trung bình: 65m²/căn 2/ Phương án kinh doanh 2.1/ Theo đề xuất của P. R&D - Để bán được sản phẩm Condotel tại Đà Nẵng, dự án phải thuê đơn vị vận hành theo tiêu chuẩn 5 sao Quốc tế (tương tự như Nobu) 2.2/ Tổng mức đầu tư: 5.127 tỷ đồn"
BDS-MASTER-0028,Chen Sea 3,missing_report_date,,"10.2506719, 103.944228",47.000 m² (~4.70 ha),"[] P.ĐT báo cáo anh Mr Mike1 -CEO về tổng quan dự án Chen Sea 3,1ha tại xã Cửa Dương, huyện Phú Quốc, tỉnh Kiên Giang như sau: 1/ Vị trí: - Dự án tiếp giáp đường nội bộ đường Dinh Bà, cách đường Dinh Bà khoảng 350m, cách sân bay Quốc tế Phú Quốc khoảng 19km - Hiện trạng: Dự án đã khai thác 1 phần, với 22 căn villas tương ứng 36 phòng 2/ Pháp lý Đất: Quy mô dự án là 4,7ha, trong đó: - Đã có GCN QSDĐ 3,1ha: Mục đích sử dụng đất là đất sản xuất kinh doanh; Thời hạn sử dụng đất đến 16/12/2052. Nguồn gốc đất: Thuê đất trả tiền 1 lần - Phần diện tích còn lại 1,6ha: Chưa được cấp GCN và chưa giải phóng đền bù 3/ Pháp lý Quy hoạch: Đã có phê duyệt quy hoạch chi tiết 1/500 số 272/QĐ-BQLKKTPQ ngày 02/"
BDS-MASTER-0034,chung cư cao cấp THAT 1,missing_report_date; missing_planning,,"16.077574, 108.246196",34.916 m² (~3.49 ha),"[] Báo cáo tóm tắt dự án chung cư cao cấp THAT 1.Vị trí: Võ Nguyên Giáp, Sơn Trà Đà Nẵng Quy mô dự án: 34.916 m2 (25.852 m2 được giao đất, 9.064 m2 đất thuê) Định vị maps: https://maps.app.goo.gl/o5yA5cAF8qJoTZqW8 2.Pháp lý: Hiện trạng pháp lý: Dự án ban đầu được định hướng triển khai thành khu biệt thự cao cấp kết hợp Khách sạn + TMDV. Sau đó, chủ đầu tư đã xin điều chỉnh thành tổ hợp căn hộ chung cư cao cấp và Khách sạn TMDV. Cho đến nay, tình hình thực hiện dự án chưa triển khai gì thêm. Dựa vào báo cáo pháp lý từ Phòng Pháp lý và Anh Tịnh-pháp lý địa phương Đà Nẵng, P.Đầu tư tổng hợp và tóm tắt đánh giá pháp lý dự án như sau: Chủ trương đầu tư: Hiện chủ đầu tư chưa cung cấp hồ sơ về việc"
BDS-MASTER-0035,là 30,bad_name,2025-08-08,"10.888428, 106.6985811",30.970 m² (~3.10 ha),"[2025-08-08] Hanh T - INVT 8/8/2025 5:07 PM Edited Translate P.Đầu tư báo cáo Sếp Mr Mike1 -CEO về DA chung cư Long Vân 3,09 ha, đường Quốc Lộ 13 (Đại Lộ Bình Dương), P.Lái Thiêu (Bình Dương cũ), TPHCM (nguồn từ Mr Sơn Trợ lý gửi) như sau: 1. Tóm tắt sơ bộ hiện trạng pháp lý dự án: a) Vị trí và ranh dự án: https://maps.app.goo.gl/pTzfCxqkMYLuLe9z9 b. Sơ bộ hiện trạng pháp lý: Tổng diện tích khu đất lập dự án là 30.970,5 m2 đất, số 76 đường Đại Lộ Bình Dương, đối diện với đường Lái Thiêu 110 và Cầu Phú Long nối qua Quận 12. Pháp lý đầu tư: Chưa thực hiện QĐ chủ trương đầu tư, chỉ mới được duyệt vào danh sách thí điểm thực hiện dự án nhà ở tháng 6/2025. Pháp lý đất: tổng diện tích đất thực hiệ"
BDS-MASTER-0037,đã được chấp thuận đầu tư dự án và đã được gia hạn tiến độ 02 năm kể từ ngày được cấp phép xây dựng - Hiện chủ,missing_report_date,,"10.6963753, 106.6108851",1.150.000 m² (~115.00 ha),"[] P.ĐT báo cáo anh Mr Mike1 -CEO về việc cập nhật hiệu quả tài chính và pháp lý dự án 2,3ha Bình Điền – Bình Chánh, sau khi phòng Pháp lý và phòng Quy hoạch gặp đối tác như sau: 1/ Vị trí: - Cách Chợ Đầu Mối Bình Điền khoảng 400m, cách ranh Quận 8 và huyện Bình Chánh khoảng 150m, cách UBND huyện Bình Chánh khoảng 3,2km, cách nút giao Vành Đai 2 - Nguyễn Văn Linh khoảng 2,2km - Tiềm năng trong tương lai: + Cách bến xe miền Tây mới khoảng 1,5km + Nằm giữa trung tâm lưu thông hàng hóa I (khu E -115ha) và trung tâm lưu thông hàng hóa II (khu D - 85ha) thuộc khu đô thị Phú Mỹ Hưng => Dự kiến 30/04/2025 hoàn tất việc giải phóng đền bù + Cách các nhà ga thuộc tuyến Metro line 7 trong bán kính 500m"
BDS-MASTER-0038,KHU ĐÔ THỊ MỚI G1,missing_legal,2024-05-27,"21.175735, 105.7780297",452.700 m² (~45.27 ha),"[2024-05-27] Thao L - INVT 5/27/2024 10:52 AM Translate Khối Đầu tư báo cáo anh Tuan Tran-CEO đánh giá sơ bộ về 02 DỰ ÁN KHU ĐÔ THỊ MỚI G1, G2 HUYỆN ĐÔNG ANH, THÀNH PHỐ HÀ NỘI (Dự án của Anh Tâm) I. Thông tin về dự án G1 1. Vị trí *Hiện trạng: - Tiếp giáp phía tây là đường Song hành song song Vành Đai 3 – Võ Văn Kiệt - Link: https://maps.app.goo.gl/dAy23L3wP3mTsMM88 - Tổng diện tích: 45,27ha - Cách trung tâm Hà Nội: 25Km -30p - Cách Sân bay Nội Bài: 10Km - 15p - Đối diện (xéo) Khu công nghiệp Quang Minh 344ha (H. Mê Linh) - Cách Khu công nghiệp Đông Anh 300ha (tương lai) khoảng 10Km *Quy hoạch: - Tiếp giáp phía bắc là đường Song hành song song Vành Đai 3 và Tuyến đường sắt Hà Nội 2. Chức năn"
BDS-MASTER-0039,Khu Công Nghiệp Và Khu Phi Thuế Quan Xuân Cầu tại Khu Cảng Cửa Ngõ Quốc Tế Lạch Huyện,land_area_outlier,2024-01-09,"20.8226239, 106.8725158",7.520.000 m² (~752.00 ha),"[2024-01-09] Thao L - INVT 1/9/2024 5:12 PM K.ĐT báo cáo anh Tuan Tran-CEO về dự án Khu Công Nghiệp Và Khu Phi Thuế Quan Xuân Cầu tại Khu Cảng Cửa Ngõ Quốc Tế Lạch Huyện, Khu Kinh Tế Đình Vũ – Cát Hải, Thành Phố Hải Phòng như sau: I. HIỆN TRẠNG DỰ ÁN 1. Vị trí: Thuộc khu vực cảng cửa ngõ quốc tế Lạch Huyện, Khu kinh tế Đình Vũ - Cát Hải, Thành phố Hải Phòng. Đối diện cảng số 1 đến số 12 thuộc Zone 4 Cảng nước sâu Quốc tế Lạch Huyện. 2. Quy mô và tính chất: Dự án có diện tích 752Ha thuộc Khu Phi thuế quan, trong đó: 369Ha khu sản xuất công nghiệp và 173Ha khu dịch vụ kho bãi – logistics. 3. Thời gian vận hành: 2021-2071: Còn 47 năm. 4. Hiện trạng: đã được san lấp khoảng 3% trên tổng diện tích"
BDS-MASTER-0040,Khách sạn 5 sao 12 Hùng Vương Đà Lạt,missing_report_date; missing_land_area,,"11.941268, 108.463187",,"[] P.ĐT xin báo cáo Sếp Admin 01 về dự án Khách sạn 5 sao tại đường 12 Hùng Vương, TP Đà Lạt, Tỉnh Lâm Đồng như sau: I. SƠ BỘ VỀ DỰ ÁN Vị trí: 12 Hùng Vương, TP Đà Lạt, Tỉnh Lâm Đồng (Map: https://maps.app.goo.gl/6iyNdteYfVyyT9Xy9) Pháp lý: Đất ở, thời hạn sử dụng đất: lâu dài Quy hoạch: Được quy hoạch làm khách sạn 5 tầng + 2 hầm, tính theo phương án 159 phòng. II. ĐÁNH GIÁ HIỆU QUẢ DỰ ÁN GIẢ ĐỊNH: 1. Phương án kinh doanh (Theo anh David Cường) 2. Tổng Mức Đầu Tư Dự Án: Hiện chưa có TMĐT nên BP Đầu tư giả định gồm có CPXD và tiền đất Nhận xét: Do quỹ đất là đất TMDV có thời hạn sử dụng lâu dài, giá trị quyền sử dụng đất không bị giảm sau khi dự án khách sạn kết thúc vòng đời vận hành. Do đó"
BDS-MASTER-0041,Lô đất Phú Thọ Hòa Tân Phú,missing_report_date,,"10.785522, 106.631470",13.900 m² (~1.39 ha),"[] P.ĐT xin báo cáo Sếp Admin 01 về khu đất phường Phú Thọ Hòa, Quận Tân Phú, TP HCM (Nguồn Sếp Tâm) như sau: 1. Pháp lý đất: Diện tích: 13,907.5 m2 Mục đích: Đất trồng cây lâu năm Thời hạn: 50 năm ( 07/2011 – 07/2061) Nguồn gốc sử dụng: Nhà nước công nhận quyền sử dụng đất Vị trí: https://maps.app.goo.gl/v8GdHbU3xb5G8JFs9 Ranh đất: Hạ tang giao thông nội bộ: có bề rộng mặt đường hẹp (7m) và vị trí khó khả thi phát triển thành khu thương mại dịch vụ. 2. Quy hoạch: 3. Đánh giá: Hiện trạng khu đất là đất trồng cây lâu năm có thời hạn sử dụng đến tháng 07/2061. Căn cứ theo Tra cứu Quy hoạch như trên, Khu đất có quy hoạch công viên cây xanh chiếm tỉ trọng lớn 56% và phần còn lại là đất TMDV, khô"
BDS-MASTER-0043,phân lô bán nền 4,bad_name; missing_report_date,,"10.840838, 106.919985",49.000 m² (~4.90 ha),"[] P.ĐT báo cáo nhanh anh Mr Mike1 -CEO về dự án phân lô bán nền 4,9ha Khu dân cư Tam Phước, phường Tam Phước, Thành phố Biên Hòa, tỉnh Đồng Nai (Nguồn: Mr. Duy - P.PTQĐ) như sau: 1/ Vị trí: Dự án nằm trong hẻm đường Quốc lộ 51, cách đường Quốc lộ 51 khoảng 850m, cách cao tốc Biên Hòa Vũng Tàu khoảng 1,2km, bên phải giáp đường ĐT 771 (quy hoạch), bên dưới giáp đường ĐT 777 (quy hoạch). Trong bán kính 2-3km có cách khu công nghiệp như: KCN Long Thành, KCN An Phước, KCN Tam Phước Cách dự án Aqua City khoảng 5,5km (theo đường chim bay), cách sân golf Long Thành khoảng 3,5km 2/ Hiện trạng: Đất trống, cỏ cây mọc um tùm (hình ảnh vệ tinh) 3/ Thông tin dự án (P.PTQĐ cung cấp) Tổng diện tích dự án k"
BDS-MASTER-0044,Thuận Nghiệp ở Dĩ An,missing_report_date,,"10.9305993, 106.7448901",33.000 m² (~3.30 ha),"[] P.ĐT xin ý kiến chỉ đạo từ anh Mr Mike1 -CEO về dự án Thuận Nghiệp ở Dĩ An, Bình Dương, nguồn Sếp Tâm như sau: 1/ Vị trí dự án: 2/ So sánh dự án Thuận Nghiệp và Phú Gia Khiêm Thuận Nghiệp Phú Gia Khiêm Diện tích 2,2ha 3,3ha Loại đất SKC SKC Thời hạn Thuê đất trả tiền hằng năm, đến 10/09/2031 Đơn giá 7tr/m² 21,2tr/m² Ghi chú: Dự án 100% đất SKC, vì thế CĐT có mua thêm 1 căn nhà dân (170m² đất ở) với mục đích gộp thửa vào 2,2ha để làm dự án => Tuy nhiên sẽ không triển khai được theo quy định pháp luật 3/ Nhận định: Dự án nằm ở vị trí tốt hơn dự án Phú Gia Khiêm, tiếp giáp mặt tiền đường DT 743C rộng khoảng 16m, đường trải nhựa Giá bán bằng 1/3 so với giá Phú Gia Khiêm (cùng loại đất SKC) Tu"
