chunk_id,source_file,report_date,report_datetime_raw,sender,name_hint,excerpt
28,batch_016.txt,,,,High và West của LDG (nguồn từ anh Dũng) như sau,"Phòng ĐT xin báo cáo Sếp Admin 01 về 2 dự án High và West của LDG (nguồn từ anh Dũng) như sau: Vị trí và ranh đất 2 dự án: Bản đồ 2 khu đất LDG - High + West Intela - Google マイマップ Tóm tắt những rủi ro về pháp lý 2 DA: (i) . Rủi ro pháp lý và nghĩa vụ tài chính: Đối tác ước tính nghĩa vụ tài chính bổ sung khoảng 270 tỷ đồng cho hai dự án. Tuy nhiên, cơ sở xác định số liệu này chưa rõ ràng. Do dự án chưa hoàn tất nghĩa vụ tài chính từ giai đoạn 2017-2018, cần thực hiện báo cáo thẩm định pháp lý chuyên sâu để xác định chính xác số tiền phải nộp và các rủi ro phát sinh. (ii) . Sự lỗi thời của phương án thiết kế: Thiết kế dự án từ năm 2017 đến nay đã lạc hậu về công năng và thị hiếu. Cơ cấu sản phẩm không còn tối ưu khi 65% là căn hộ 2 phòng ngủ (diện tích khoảng 60 m2), dẫn đến tổng giá trị mỗ"
29,batch_022.txt,,,,thì họ sẽ làm như thế nào Huy M - IM Rồi anh tính phương án thử by Admin 01,Admin 01 6/17 1:53 PM Translate Thử hỏi anh Dũng xem nếu mình mua rồi hợp tác Gamuda thì họ sẽ làm như thế nào Huy M - IM Rồi anh tính phương án thử by Admin 01
30,batch_022.txt,,,,10ha Đường Long Thuận,"P.ĐT xin báo cáo Sếp Admin 01 về sơ bộ dự án 10ha Đường Long Thuận, Long Phước, Quận 9, TP.HCM PHƯƠNG ÁN 1: Dân số 1500 người Phương án 1a P.ĐT thực hiện tính theo phương án bố trí của phòng QH, tuy… Mai trình bày em cái này Nhầm, t2 chứ by Admin 01"
31,batch_023.txt,,,,một lần,"Dạ IRR khác biệt nhiều so với LNTT/TMĐT vì ngày lúc đầu mình tự bỏ tiền vốn ra để mua dự án một lần, cũng như là dòng tiền bán hàng em đang dự trù thận trọng (tốc độ bán hàng kéo dài). Vì vậy yếu tố IRR sẽ thấp hơn LNTT/TMĐT ạ Thử hỏi anh Dũng xem nếu mình mua rồi hợp t... by Admin 01"
32,batch_024.txt,,,,,"Dạ ở trên em đang tính theo giá chào gốc của bên môi giới là 692 ạ. Em có điều chỉnh lại 690 để gọn và dễ hình dung hơn, nên kết quả hơi nhích xíu, nhưng không thay đổi đáng kể á sếp Image Image by Admin 01"
33,batch_025.txt,,,,,"Dạ vâng ạ, đã bỏ phần 120t tiền sdđ đóng thêm. Nhưng vẫn tính yếu tố thiệt hại thuế do chênh lệch giá mua và giá vốn ghi nhận ạ Chi phí bán hàng + mkt là tính dư rồi đúng ... by Admin 01"
34,batch_029.txt,,,,k… Gửi lại độ nhạy,"Dạ Sếp. Hiện tại Anh Minh vẫn tiếp tục rà soát từ nhiều nguồn để kiểm tra rủi ro pháp lý dự án. Liên quan đến LUR, theo các hồ sơ mình có được và cũng như nhận định từ P.PLDA thì khả năng cao dự án k… Gửi lại độ nhạy"
35,batch_032.txt,,,,không phải nộp thêm ạ,"Dạ Sếp. Hiện tại Anh Minh vẫn tiếp tục rà soát từ nhiều nguồn để kiểm tra rủi ro pháp lý dự án. Liên quan đến LUR, theo các hồ sơ mình có được và cũng như nhận định từ P.PLDA thì khả năng cao dự án không phải nộp thêm ạ. Và P.ĐT cũng đề xuất trong các đợt làm việc tiếp theo, sẽ có nhân sự của P.PLDA gặp đối tác để làm rõ các rủi ro pháp lý nêu trên Kêu hẹn đi by Admin 01"
36,batch_033.txt,,,,này,"Phòng đầu tư xin báo cáo lại sếp Admin 01 về lô mặt tiền Quốc Lộ 13, Hiệp Bình Phước, TP Thủ Đức. 1. Vị trí dự án: https://maps.app.goo.gl/oHEYY6H9GGykdD9C6 2. Thông tin lô đất (nguồn anh Hùng): a. Diện tích: 42x100m (4.214m2) b. MĐSDĐ: Đất sản xuất phi nông nghiệp, thời hạn sử dung đất lâu dài c. Giá: 350 tỷ 3. Quy hoạch 1/2000: lô đất được quy hoạch hỗn hợp nhóm ở & DV là 2.900 m2 và đất cây xanh công viên1.300m2. => Lô đất có đất cây xanh công viên chiếm 31% khu đất, do đó phần đất ở phù hợp còn lại tương đối nhỏ. Lô đất đang được chào với giá 350 tỷ (tương đương 120Tr.vnđ/m2 đất quy hoạch hỗn hợp nhóm ở & DV). Phòng đầu tư đề xuất không nghiên cứu sâu dự án này"
37,batch_033.txt,,,,AK (2025)~ 4,"P.ĐT tạm tính tại thời điểm cuối năm 2025 - đầu năm 2026, khi quy hoạch chi tiết tỷ lệ 1/500 chưa được phê duyệt, TSDĐ trong khoảng từ 700 - 1,100 tỷ đồng, cụ thể: Kịch bản thấp (Min): 700 tỷ đồng, cơ sở tham chiếu tỷ lệ ĐG đất thặng dư/ ĐGNN của dự án AK (2025)~ 4.x lần. Kịch bản cao (Max): 1,100 tỷ đồng, cơ sở tham chiếu mức giá bán căn hộ của dự án AK khoảng 37.7 triệu đồng/m². Tuy nhiên, theo tiến độ hiện tại, thời điểm dự kiến được giao đất của dự án PKG vào khoảng giữa đến cuối năm 2026, muộn hơn so với thời điểm giả định nêu trên => TSDĐ có khả năng tăng cao hơn mức dự kiến. 2. Ước tính TSDĐ theo bảng giá đất và hệ số điều chỉnh mới áp dụng theo luật mới: Theo QH 1/500 mới, Diện tích đất 27,888m; HSSSĐ: 6.5 Đơn giá đất NN: 15.9tr/m2, hệ số đ.c thị trường 1.67 HSSDĐ: 6.5 => Hệ số điề"
38,batch_033.txt,,,,Cát Lái,"P.ĐT cập nhật sếp Admin 01thông tin pháp lý dự án Cát Lái. Qua làm việc với Sở Xây dựng, Anh Minh PLDA cũng đã có thu thập được thêm Báo cáo nghiên cứu khả thi và thông báo miễn GPXD cấp ngày 12/12/2025 cho dự án Thời gian tới, anh Minh sẽ tiếp tục làm việc với Sở NNMT để xác minh thông tin số tiền 120 tỷ LUR ạ 251212-CV-19745-SXD miễn GPXD.pdf 2025.11.26 công văn 17448 thẩm định BCNCKT.pdf"
39,batch_033.txt,,,,Cát Lái từ P,"P.ĐT cập nhật Sếp Admin 01 đánh giá pháp lý sơ bộ dự án Cát Lái từ P.PLDA Các vấn đề cần lưu ý như sau: - Do quá trình chuyển nhượng lô H2-02 từ Invesco sang Phú Gia khi chưa hoàn thành đầu tư xây dựng hạ tầng, do đó trong quá trình thẩm định chủ trương đầu tư, Sở XD đã có ý kiến đề nghị Sở NNMT giải thích vấn đề này=> P.PLDA đề xuất CĐT Phú Gia cung cấp ý kiến giải trình của Sở NNMT để đảm bảo kiểm soát rủi ro tiềm tàng - Dự án có thời hạn đưa đất vào sử dụng là tháng 12/2024, mặc dù giữa năm 2025 ghi nhận hình ảnh và hoạt động rào tôn, cải tạo đất tại lô H2-02 tuy nhiên đến thời điểm hiện tại Công ty vẫn chưa nhận được văn bản khởi công xây dựng hoặc thông báo xây dựng từ Phú Gia để chứng minh dự án đưa đất vào sử dụng đúng hạn. Bên cạnh đó, mặc dù hạn đưa vào sử dụng là 12/2024, nhưng đ"
40,batch_034.txt,,,,Diamond Garden ở đường Đào Trí,"Friday, June 12 P. Đầu tư xin báo cáo sếp Admin 01 dự á... by Hoa D - CVDT, has an attachment. 6/12 4:10 PM Edited Hoa D - CVDT P. Đầu tư xin báo cáo sếp Admin 01 dự án Diamond Garden ở đường Đào Trí, Phường Phú Thuận, TP Hồ Chí Minh 1. Tóm tắt sơ bộ hiện trạng pháp lý dự án: a) Vị trí và ranh dự án: https://maps.app.goo.gl/GdiSL1z7fBFtk3tr8 b) Dự án bị chia cắt bởi một con rạch, phát sinh rủi ro pháp lý xây dựng cầu để kết nối hai khu đất b. Sơ bộ hiện trạng pháp lý: Tổng diện tích khu đất là: 10,471 m2, gồm 5,718 m2 đất lúa, 676 m2 đất ở, đất chuyên dụng 3,217m2 và 860m2 lộ giới Pháp lý đất: đang đề xuất xin vào cơ chế thí điểm của Nghị quyết 171 (cần tốn ít nhất 2 năm để có thể triển khai xây dựng được) Pháp lý QH: theo QHPK 10/2009 thuộc ô D2 có chỉ tiêu như sau: MĐXD 40%, tầng cao khô"
