master_id,project_name,match_score,links,source_file,reason
BDS-MASTER-0221,THEO PHƯƠNG ÁN KINH DOANH ANH CƯỜNG – TMĐT Ko bao gồm ĐẤT Kết quả kinh doanh – PA vận hành 15 năm + GOP bình q,48,https://www.google.com/maps/d/edit?mid=1Fl7DvT-DOnJvyHZ0Oq5v-nUadBLGHFo&usp=sharing,batch_283.txt,links_not_resolved_yet
BDS-MASTER-0227,cần kiểm tra xem có chuyển lên thổ cư để thực hiện dự án chung cư được hay không,68,https://goo.gl/maps/C86NnDNwQKH22Bek9-,batch_917.txt,links_not_resolved_yet
BDS-MASTER-0228,khác đang triển khai như Stown,16,https://www.google.com/maps/d/edit?mid=1GZCfnV4401jtKcup5hFe0KPBOBMYrp4&usp=sharing,batch_232.txt,links_not_resolved_yet
BDS-MASTER-0231,trong Khu Công Nghiệp tỉnh Vĩnh Phúc,29,https://goo.gl/maps/ZVuC7,batch_820.txt,links_not_resolved_yet
BDS-MASTER-0235,đã và đang thực hiện trên BCTC,16,https://www.google.com/maps/d/edit?mid=1pYF3M65dQngj9P_VP8SbXUKy92nYnFo&usp=sharing,batch_100.txt,links_not_resolved_yet
BDS-MASTER-0236,đầu tư,12,https://www.google.com/maps/d/edit?mid=11z_Bkaxe4GIV5AYsicAES_ivCxDZbmM&usp=sharing,batch_250.txt,links_not_resolved_yet
BDS-MASTER-0250,NOXH đang đánh giá khoảng 15Km Trên dưới 20 Triệu/m2 Giá đất UBND MT đường DT742 5 Triệu/m2 Theo Tổng mức đầu,44,https://www.google.com/maps/d/edit?mid=1MawyjqMPRL80P8Y7qm_ZhtUgghnbpFc&usp=sharing,batch_375.txt,links_not_resolved_yet
BDS-MASTER-0277,168ha gần Khu Đa Phước - OneDrive (sharepoint,28,https://goo.gl/maps/35GfKER...; https://goo.gl/maps/35GfKER,batch_928.txt,links_not_resolved_yet
BDS-MASTER-0291,Phú Gia Khiêm về việc điều chỉnh chỉ tiêu dân số,20,https://www.google.com/maps/d/edit?mid=1GZCfnV4401jtKcup5hFe0KPBOBMYrp4&usp=sharing,batch_232.txt,links_not_resolved_yet
BDS-MASTER-0321,phân lô bán nền (không xây nhà) giá rẻ ở Nhơn Trạch,12,https://www.google.com/maps/d/edit?mid=1GZCfnV4401jtKcup5hFe0KPBOBMYrp4&usp=sharing,batch_232.txt,links_not_resolved_yet
BDS-MASTER-0348,NOXH của Công ty Ba Huân,52,https://www.google.com/maps/d/edit?mid=1p-2wMqsZAnTQXubtXx7Lse6Sq-8rC64&usp=sharing,batch_375.txt,links_not_resolved_yet
BDS-MASTER-0349,NOXH Đồng Nai (2 dự án trung tâm Biên Hòa)1,16,https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105…,batch_212.txt,links_not_resolved_yet
BDS-MASTER-0368,hạ tầng kết nối lớn tại các tỉnh thành lân cận,12,https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105…,batch_212.txt,links_not_resolved_yet
BDS-MASTER-0370,khác Team cũng có đánh giá lại theo giá thị trường,20,https://www.google.com/maps/d/edit?mid=1MawyjqMPRL80P8Y7qm_ZhtUgghnbpFc&usp=sharing,batch_375.txt,links_not_resolved_yet
BDS-MASTER-0379,này dự kiến 2026 sẽ bắt đầu ra tin à image by Huy M - IM,12,https://www.google.com/maps/d/edit?mid,batch_440.txt,links_not_resolved_yet
BDS-MASTER-0401,Đông Trung - Đề xuất,12,https://www.google.com/maps/d/edit?mid=1MawyjqMPRL80P8Y7qm_ZhtUgghnbpFc&usp=sharing,batch_375.txt,links_not_resolved_yet
BDS-MASTER-0402,Đầu tư xây dựng đường Cao tốc TP,20,https://www.google.com/maps/d/u/1/edit?mid=10gTnNN6aieu1u3Xx49gGnnp177W4zag&usp=sharing,batch_578.txt,links_not_resolved_yet
BDS-MASTER-0408,định giá Link vị trí,48,https://www.google.com/maps/d/edit?mid=1Yy94Bk_zJc1qdBIr51K9nl1FJ6GMm1g&usp=sharing,batch_338.txt,links_not_resolved_yet
BDS-MASTER-0414,35ha 1,16,https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105…,batch_212.txt,links_not_resolved_yet
BDS-MASTER-0431,Vo Van Kiet Gop 2 Lo (IN),12,https://www.google.com/maps?q=10.8403809,batch_062.txt,links_not_resolved_yet
BDS-MASTER-0438,cập nhật chốt xin giữ dân số cho PGK là 3800,12,https://www.google.com/maps/d/edit?mid=1GZCfnV4401jtKcup5hFe0KPBOBMYrp4&usp=sharing,batch_232.txt,links_not_resolved_yet
BDS-MASTER-0440,của DIG,12,https://www.google.com/maps/d/edit?mid,batch_440.txt,links_not_resolved_yet
BDS-MASTER-0441,của DIG rồi ạ Begin quote,12,https://maps.app.goo.gl/5iiRqTtYeBvcHiWK6?g_st=com.microsoft.skype.teams.extshare,batch_441.txt,links_not_resolved_yet
BDS-MASTER-0443,của mình sẽ thực hiện đồng bộ theo hạ tầng của tỉnh Vậy cầu này làm để kết nói đường bộ ven biể,28,https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105…,batch_212.txt,links_not_resolved_yet
BDS-MASTER-0473,tiêu biểu và đang book lịch đi khảo sát thực tế thị trường về giá bán,20,https://www.google.com/maps/d/edit?mid=1MawyjqMPRL80P8Y7qm_ZhtUgghnbpFc&usp=sharing,batch_375.txt,links_not_resolved_yet
BDS-MASTER-0475,trong kế hoạch đấu giá năm 2026 trên địa bàn tỉnh Đồng Nai,28,https://www.google.com/maps/d/edit?mid=1GZCfnV4401jtKcup5hFe0KPBOBMYrp4&usp=sharing,batch_232.txt,links_not_resolved_yet
BDS-MASTER-0481,xung quanh do phòng R&D tổng hợp,16,https://www.google.com/maps/d/edit?mid=1Fl7DvT-DOnJvyHZ0Oq5v-nUadBLGHFo&usp=sharing,batch_283.txt,links_not_resolved_yet
BDS-MASTER-0486,đề xuất quan tâm theo file đính kèm,20,https://www.google.com/maps/d/edit?mid=1GZCfnV4401jtKcup5hFe0KPBOBMYrp4&usp=sharing,batch_232.txt,links_not_resolved_yet
BDS-MASTER-0490,Hiyori e đang tổng hợp thông tin,12,https://www.google.com/maps/d/edit?mid=1pYF3M65dQngj9P_VP8SbXUKy92nYnFo&usp=sharing,batch_100.txt,links_not_resolved_yet
BDS-MASTER-0491,Minh Ngọc,20,https://goo.gl/maps/cUNDNuwk9M5KBSbJA**,batch_917.txt,links_not_resolved_yet
BDS-MASTER-0497,hoàn chỉnh nút giao và nhánh nối xa lộ Hà Nội - vành đai 3,16,https://www.google.com/maps/d/edit?mid=1GZCfnV4401jtKcup5hFe0KPBOBMYrp4&usp=sharing,batch_232.txt,links_not_resolved_yet
BDS-MASTER-0498,không với những hạn chế ở trên,20,https://www.google.com/maps/d/edit?mid=1pYF3M65dQngj9P_VP8SbXUKy92nYnFo&usp=sharing,batch_100.txt,links_not_resolved_yet
